,matchid,teamid,op_teamid,competitionid,seasonid,is_home,team_name,op_team_name,timestamp,goals,op_goals,points,avg_points,avg_goals,op_avg_goals,pass_70,pass_80,op_pass_70,op_pass_80,expected_goals,op_expected_goals,passes,bad_passes,pass_ratio,corners,fouls,cards,shots,op_passes,op_bad_passes,op_corners,op_fouls,op_cards,op_shots,goals_op_ratio,shots_op_ratio,pass_op_ratio
0,1,11,12,,,0,Peru,Ecuador,05-09-2017,,,,0.6666666667,1.1666666667,1.6666666667,0.6907407407,0.1185185185,0.6851851852,0.1462962963,1.0946969697,2.5016339869,3.0018518519,0.6777777778,0.8066940605,0.0537037037,0.1555555556,3.1666666667,0.0962962963,2.6648148148,0.3944444444,0.0518518519,0.1611111111,2.1666666667,0.0814814815,0.8333333333,1.9059640523,1.5856305397
1,1,12,11,,,1,Ecuador,Peru,05-09-2017,,,,1.6666666667,1.8333333333,1.5,0.6518518519,0.1611111111,0.5555555556,0.1703703704,1.4702889703,1.6511048864,2.2685185185,0.5055555556,0.8508998776,0.0425925926,0.1592592593,2.5,0.1259259259,2.9407407407,0.5759259259,0.0462962963,0.1518518519,2.1666666667,0.1074074074,1.5833333333,1.4063569872,1.0322608685
2,2,11,13,,,0,Peru,Argentina,,,,,2.1666666667,2,1.3333333333,0.8092592593,0.2259259259,0.5111111111,0.1166666667,1.5231990232,1.5832315832,2.6611111111,0.5296296296,0.8471487674,0.0481481481,0.1574074074,3.5,0.1351851852,2.4648148148,0.5833333333,0.0537037037,0.1481481481,2.1666666667,0.1,1.8333333333,1.4976088726,1.20898173
3,2,13,11,,,1,Argentina,Peru,,,,,1.3333333333,0.8333333333,1,0.6944444444,0.1111111111,0.5037037037,0.1481481481,0.8361344538,1.2045454545,4.3462962963,0.4925925926,0.8893047172,0.05,0.2018518519,3,0.1222222222,2.3425925926,0.4259259259,0.037037037,0.2111111111,3,0.0759259259,0.8333333333,1.7801406926,2.3234563679
4,3,11,14,,,1,Peru,Colombia,,,,,2.1666666667,2,1.3333333333,0.8092592593,0.2259259259,0.5111111111,0.1166666667,1.5231990232,1.5832315832,2.6611111111,0.5296296296,0.8471487674,0.0481481481,0.1574074074,3.5,0.1351851852,2.4648148148,0.5833333333,0.0537037037,0.1481481481,2.1666666667,0.1,1.8333333333,1.4976088726,1.20898173
5,3,14,11,,,0,Colombia,Peru,,,,,1.5,0.6666666667,0.6666666667,0.9222222222,0.0944444444,0.637037037,0.1685185185,0.7947900053,0.6388888889,3.5703703704,0.2962962963,0.9219780799,0.0574074074,0.1796296296,1.5,0.1185185185,2.787037037,0.5203703704,0.0314814815,0.1685185185,2.5,0.0833333333,0.6666666667,2.6604700855,1.5518623711
