,league_id,season_id,fixture_id,localteam_id,visitorteam_id,team_id,time.starting_at.date,localTeam.data.name,visitorTeam.data.name,scores.localteam_score,scores.visitorteam_score,aggregate_id,attacks.attacks,attacks.dangerous_attacks,attendance,coaches.localteam_coach_id,coaches.visitorteam_coach_id,commentaries,corners,deleted,formations.localteam_formation,formations.visitorteam_formation,fouls,free_kick,goal_kick,localTeam.data.country_id,localTeam.data.founded,localTeam.data.id,localTeam.data.legacy_id,localTeam.data.logo_path,localTeam.data.national_team,localTeam.data.twitter,localTeam.data.venue_id,offsides,passes,pitch,possessiontime,redcards,referee_id,round_id,saves,scores.et_score,scores.ft_score,scores.ht_score,scores.localteam_pen_score,scores.visitorteam_pen_score,shots.blocked,shots.insidebox,shots.offgoal,shots.ongoal,shots.outsidebox,shots.total,stage_id,standings.localteam_position,standings.visitorteam_position,stats_available,substitutions,throw_in,time.extra_minute,time.injury_time,time.minute,time.starting_at.date_time,time.starting_at.time,time.starting_at.timestamp,time.starting_at.timezone,time.status,venue_id,visitorTeam.data.country_id,visitorTeam.data.founded,visitorTeam.data.id,visitorTeam.data.legacy_id,visitorTeam.data.logo_path,visitorTeam.data.national_team,visitorTeam.data.twitter,visitorTeam.data.venue_id,weather_report,weather_report.clouds,weather_report.code,weather_report.humidity,weather_report.icon,weather_report.temperature.temp,weather_report.temperature.unit,weather_report.type,weather_report.wind.degree,weather_report.wind.speed,winning_odds_calculated,yellowcards
3978,74,201,93643,2460,2396,,2016-10-14,Helmond Sport,FC Volendam,2,0,,,,,,,False,,False,,,,,,38,1967,2460,37,https://cdn.sportmonks.com/images/soccer/teams/28/2460.png,False,,1474,,,,,,,8569,,,2-0,1-0,,,,,,,,,485,,,0,,,,,90,2016-10-14 18:00:00,18:00:00,1476468000,UTC,FT,1474,38,1920,2396,22,https://cdn.sportmonks.com/images/soccer/teams/28/2396.png,False,,1437,,,,,,,,,,,False,
3979,74,201,93653,2360,814,,2016-10-14,FC Oss,RKC Waalwijk,2,5,,,,,,,False,,False,,,,,,38,1928,2360,29,https://cdn.sportmonks.com/images/soccer/teams/24/2360.png,False,,1420,,,,,,,8569,,,2-5,2-1,,,,,,,,,485,,,0,,,,,90,2016-10-14 18:00:00,18:00:00,1476468000,UTC,FT,1420,38,1940,814,38,https://cdn.sportmonks.com/images/soccer/teams/14/814.png,False,,275,,,,,,,,,,,False,
3980,74,201,93664,2385,1435,,2016-10-14,FC Den Bosch,SC Cambuur,3,1,,,,,,,False,,False,,,,,,38,1964,2385,30,https://cdn.sportmonks.com/images/soccer/teams/17/2385.png,False,,158946,,,,,,,8569,,,3-1,0-0,,,,,,,,,485,,,0,,,,,90,2016-10-14 18:00:00,18:00:00,1476468000,UTC,FT,1432,38,1964,1435,9,https://cdn.sportmonks.com/images/soccer/teams/27/1435.png,False,,660,,,,,,,,,,,False,
3981,74,201,93675,1550,637,,2016-10-14,Telstar,NAC Breda,2,0,,,,,,,False,,False,,,,,,38,1912,1550,35,https://cdn.sportmonks.com/images/soccer/teams/14/1550.png,False,,741,,,,,,,8569,,,2-0,1-0,,,,,,,,,485,,,0,,,,,90,2016-10-14 18:00:00,18:00:00,1476468000,UTC,FT,741,38,1912,637,17,https://cdn.sportmonks.com/images/soccer/teams/29/637.png,False,@NACnl,158,,,,,,,,,,,False,
3982,74,201,93686,1731,822,,2016-10-16,MVV Maastricht,FC Dordrecht,2,1,,,,,,,False,,False,,,,,,38,1902,1731,36,https://cdn.sportmonks.com/images/soccer/teams/3/1731.png,False,,864,,,,,,,8569,,,2-1,0-0,,,,,,,,,485,,,0,,,,,90,2016-10-16 12:30:00,12:30:00,1476621000,UTC,FT,864,38,1990,822,18,https://cdn.sportmonks.com/images/soccer/teams/22/822.png,False,,279,,,,,,,,,,,False,
3983,74,201,93695,2783,1073,,2016-10-17,Jong Ajax,Graafschap,4,2,,,,,,,False,,False,,,,,,38,0,2783,27,https://cdn.sportmonks.com/images/soccer/teams/31/2783.png,False,,1470,,,,,,,8569,,,4-2,2-1,,,,,,,,,485,,,0,,,,,90,2016-10-17 18:00:00,18:00:00,1476727200,UTC,FT,1470,38,1954,1073,25,https://cdn.sportmonks.com/images/soccer/teams/17/1073.png,False,,416,,,,,,,,,,,False,
3984,74,201,93706,2475,1550,,2016-10-21,FC Emmen,Telstar,0,0,,,,,,,False,,False,,,,,,38,1985,2475,23,https://cdn.sportmonks.com/images/soccer/teams/11/2475.png,False,,1483,,,,,,,8581,,,0-0,0-0,,,,,,,,,485,,,0,,,,,90,2016-10-21 18:00:00,18:00:00,1477072800,UTC,FT,1483,38,1912,1550,35,https://cdn.sportmonks.com/images/soccer/teams/14/1550.png,False,,741,,,,,,,,,,,False,
3985,74,201,93715,2971,320,,2016-10-21,Jong PSV,FC Eindhoven,4,1,,,,,,,False,,False,,,,,,38,0,2971,31,https://cdn.sportmonks.com/images/soccer/teams/27/2971.png,False,,1745,,,,,,,8581,,,4-1,1-1,,,,,,,,,485,,,0,,,,,90,2016-10-21 18:00:00,18:00:00,1477072800,UTC,FT,1745,38,1909,320,21,https://cdn.sportmonks.com/images/soccer/teams/0/320.png,False,,1942,,,,,,,,,,,False,
3986,74,201,93725,814,2397,,2016-10-21,RKC Waalwijk,Achilles '29,2,0,,,,,,,False,,False,,,,,,38,1940,814,38,https://cdn.sportmonks.com/images/soccer/teams/14/814.png,False,,275,,,,,,,8581,,,2-0,2-0,,,,,,,,,485,,,0,,,,,90,2016-10-21 18:00:00,18:00:00,1477072800,UTC,FT,275,38,1929,2397,33,https://cdn.sportmonks.com/images/soccer/teams/29/2397.png,False,,1443,,,,,,,,,,,False,
3987,74,201,93735,2396,2783,,2016-10-21,FC Volendam,Jong Ajax,1,1,,,,,,,False,,False,,,,,,38,1920,2396,22,https://cdn.sportmonks.com/images/soccer/teams/28/2396.png,False,,1437,,,,,,,8581,,,1-1,1-0,,,,,,,,,485,,,0,,,,,90,2016-10-21 18:00:00,18:00:00,1477072800,UTC,FT,1437,38,0,2783,27,https://cdn.sportmonks.com/images/soccer/teams/31/2783.png,False,,1470,,,,,,,,,,,False,
