,league_id,season_id,fixture_id,localteam_id,visitorteam_id,team_id,time.starting_at.date,localTeam.data.name,visitorTeam.data.name,scores.localteam_score,scores.visitorteam_score,aggregate_id,attacks,attacks.attacks,attacks.dangerous_attacks,attendance,coaches.localteam_coach_id,coaches.visitorteam_coach_id,commentaries,corners,deleted,formations.localteam_formation,formations.visitorteam_formation,fouls,free_kick,goal_kick,localTeam.data.country_id,localTeam.data.founded,localTeam.data.id,localTeam.data.legacy_id,localTeam.data.logo_path,localTeam.data.national_team,localTeam.data.twitter,localTeam.data.venue_id,offsides,passes,pitch,possessiontime,redcards,referee_id,round_id,saves,scores.et_score,scores.ft_score,scores.ht_score,scores.localteam_pen_score,scores.visitorteam_pen_score,shots,shots.blocked,shots.insidebox,shots.offgoal,shots.ongoal,shots.outsidebox,shots.total,stage_id,standings.localteam_position,standings.visitorteam_position,stats_available,substitutions,throw_in,time.extra_minute,time.injury_time,time.minute,time.starting_at.date_time,time.starting_at.time,time.starting_at.timestamp,time.starting_at.timezone,time.status,venue_id,visitorTeam.data.country_id,visitorTeam.data.founded,visitorTeam.data.id,visitorTeam.data.legacy_id,visitorTeam.data.logo_path,visitorTeam.data.national_team,visitorTeam.data.twitter,visitorTeam.data.venue_id,weather_report,winning_odds_calculated,yellowcards
1799,292,1364,248836,1858,6322,,2014-08-31,TPS,RoPS,4,2,,,,,,,,False,,False,,,,,,1233,1922,1858,1115,https://cdn.sportmonks.com/images/soccer/teams/2/1858.png,False,,961,,,,,,,37567,,,4-2,0-0,,,,,,,,,,2266,,,0,,,,,90,2014-08-31 15:30:00,15:30:00,1409499000,UTC,FT,5915,1233,1950,6322,1106,https://cdn.sportmonks.com/images/soccer/teams/18/6322.png,False,,4090,,False,
1800,292,1364,248846,850,8996,,2014-08-31,Mariehamn,MYPA,3,1,,,,,,,,False,,False,,,,,,1233,1935,850,1103,https://cdn.sportmonks.com/images/soccer/teams/18/850.png,False,,139212,,,,,,,37567,,,3-1,0-0,,,,,,,,,,2266,,,0,,,,,90,2014-08-31 15:30:00,15:30:00,1409499000,UTC,FT,296,1233,1947,8996,1912,https://cdn.sportmonks.com/images/soccer/teams/4/8996.png,False,,5863,,False,
1801,292,1364,248858,4323,826,,2014-08-31,KuPS,SJK,0,0,,,,,,,,False,,False,,,,,,1233,1923,4323,1099,https://cdn.sportmonks.com/images/soccer/teams/3/4323.png,False,,2556,,,,,,,37567,,,0-0,0-0,,,,,,,,,,2266,,,0,,,,,90,2014-08-31 15:30:00,15:30:00,1409499000,UTC,FT,2556,1233,0,826,1101,https://cdn.sportmonks.com/images/soccer/teams/26/826.png,False,,282,,False,
1802,292,1364,248867,6901,1840,,2014-08-31,Honka,VPS,1,2,,,,,,,,False,,False,,,,,,1233,1957,6901,1939,https://cdn.sportmonks.com/images/soccer/teams/21/6901.png,False,,4514,,,,,,,37567,,,1-2,0-2,,,,,,,,,,2266,,,0,,,,,90,2014-08-31 15:30:00,15:30:00,1409499000,UTC,FT,5909,1233,1924,1840,1097,https://cdn.sportmonks.com/images/soccer/teams/16/1840.png,False,,952,,False,
1803,292,1364,248878,7566,724,,2014-08-31,Jaro,HJK,1,4,,,,,,,,False,,False,,,,,,1233,1965,7566,1102,https://cdn.sportmonks.com/images/soccer/teams/14/7566.png,False,,4918,,,,,,,37567,,,1-4,0-1,,,,,,,,,,2266,,,0,,,,,90,2014-08-31 15:30:00,15:30:00,1409499000,UTC,FT,5925,1233,1907,724,145,https://cdn.sportmonks.com/images/soccer/teams/20/724.png,False,,45583,,False,
1804,292,1364,248889,724,4323,,2014-09-12,HJK,KuPS,2,2,,,,,,,,False,,False,,,,,,1233,1907,724,145,https://cdn.sportmonks.com/images/soccer/teams/20/724.png,False,,45583,,,,,,,37577,,,2-2,0-1,,,,,,,,,,2266,,,0,,,,,90,2014-09-12 15:30:00,15:30:00,1410535800,UTC,FT,5929,1233,1923,4323,1099,https://cdn.sportmonks.com/images/soccer/teams/3/4323.png,False,,2556,,False,
1805,292,1364,248899,826,3420,,2014-09-13,SJK,Lahti,1,1,,,,,,,,False,,False,,,,,,1233,0,826,1101,https://cdn.sportmonks.com/images/soccer/teams/26/826.png,False,,282,,,,,,,37577,,,1-1,0-1,,,,,,,,,,2266,,,0,,,,,90,2014-09-13 13:00:00,13:00:00,1410613200,UTC,FT,282,1233,1996,3420,1104,https://cdn.sportmonks.com/images/soccer/teams/28/3420.png,False,,1996,,False,
1806,292,1364,248909,1666,850,,2014-09-13,Inter Turku,Mariehamn,0,2,,,,,,,,False,,False,,,,,,1233,1990,1666,1100,https://cdn.sportmonks.com/images/soccer/teams/2/1666.png,False,,813,,,,,,,37577,,,0-2,0-0,,,,,,,,,,2266,,,0,,,,,90,2014-09-13 13:00:00,13:00:00,1410613200,UTC,FT,5915,1233,1935,850,1103,https://cdn.sportmonks.com/images/soccer/teams/18/850.png,False,,139212,,False,
1807,292,1364,248919,8996,1858,,2014-09-14,MYPA,TPS,2,1,,,,,,,,False,,False,,,,,,1233,1947,8996,1912,https://cdn.sportmonks.com/images/soccer/teams/4/8996.png,False,,5863,,,,,,,37577,,,2-1,1-0,,,,,,,,,,2266,,,0,,,,,90,2014-09-14 15:30:00,15:30:00,1410708600,UTC,FT,5863,1233,1922,1858,1115,https://cdn.sportmonks.com/images/soccer/teams/2/1858.png,False,,961,,False,
1808,292,1364,248930,6322,6901,,2014-09-14,RoPS,Honka,2,1,,,,,,,,False,,False,,,,,,1233,1950,6322,1106,https://cdn.sportmonks.com/images/soccer/teams/18/6322.png,False,,4090,,,,,,,37577,,,2-1,1-1,,,,,,,,,,2266,,,0,,,,,90,2014-09-14 15:30:00,15:30:00,1410708600,UTC,FT,5944,1233,1957,6901,1939,https://cdn.sportmonks.com/images/soccer/teams/21/6901.png,False,,4514,,False,
