,league_id,season_id,fixture_id,localteam_id,visitorteam_id,team_id,time.starting_at.date,localTeam.data.name,visitorTeam.data.name,scores.localteam_score,scores.visitorteam_score,aggregate_id,attacks.attacks,attacks.dangerous_attacks,attendance,coaches.localteam_coach_id,coaches.visitorteam_coach_id,commentaries,corners,deleted,formations.localteam_formation,formations.visitorteam_formation,fouls,free_kick,goal_kick,localTeam.data.country_id,localTeam.data.founded,localTeam.data.id,localTeam.data.legacy_id,localTeam.data.logo_path,localTeam.data.national_team,localTeam.data.twitter,localTeam.data.venue_id,offsides,passes,pitch,possessiontime,redcards,referee_id,round_id,saves,scores.et_score,scores.ft_score,scores.ht_score,scores.localteam_pen_score,scores.visitorteam_pen_score,shots,shots.blocked,shots.insidebox,shots.offgoal,shots.ongoal,shots.outsidebox,shots.total,stage_id,standings.localteam_position,standings.visitorteam_position,stats_available,substitutions,throw_in,time.extra_minute,time.injury_time,time.minute,time.starting_at.date_time,time.starting_at.time,time.starting_at.timestamp,time.starting_at.timezone,time.status,venue_id,visitorTeam.data.country_id,visitorTeam.data.founded,visitorTeam.data.id,visitorTeam.data.legacy_id,visitorTeam.data.logo_path,visitorTeam.data.national_team,visitorTeam.data.twitter,visitorTeam.data.venue_id,weather_report,weather_report.clouds,weather_report.code,weather_report.humidity,weather_report.icon,weather_report.temperature.temp,weather_report.temperature.unit,weather_report.type,weather_report.wind.degree,weather_report.wind.speed,winning_odds_calculated,yellowcards
98,651,2281,465439,9266,13292,,2005-06-09,Portuguesa,Ituano,0,4,,,,,,,False,,False,,,,,,5,1920,9266,794,https://cdn.sportmonks.com/images/soccer/teams/18/9266.png,False,,172,,,,,,,62145,,,0-4,,,,,,,,,,,3750,,,0,,,,,90,2005-06-09 22:00:00,22:00:00,1118354400,UTC,FT,1,5,1947,13292,788,https://cdn.sportmonks.com/images/soccer/teams/12/13292.png,False,,9202,,,,,,,,,,,False,
99,651,2281,465440,2925,6021,,2005-06-10,Grêmio,Paulista,2,1,,,,,,,False,,False,,,,,,5,1903,2925,1129,https://cdn.sportmonks.com/images/soccer/teams/13/2925.png,False,,1718,,,,,,,62145,,,2-1,,,,,,,,,,,3750,,,0,,,,,90,2005-06-10 22:00:00,22:00:00,1118440800,UTC,FT,1,5,1909,6021,795,https://cdn.sportmonks.com/images/soccer/teams/5/6021.png,False,,3922,,,,,,,,,,,False,
100,651,2281,465441,8645,13144,,2005-06-10,Santo André,Gama,4,3,,,,,,,False,,False,,,,,,5,1967,8645,1255,https://cdn.sportmonks.com/images/soccer/teams/5/8645.png,False,,5607,,,,,,,62145,,,4-3,,,,,,,,,,,3750,,,0,,,,,90,2005-06-10 22:00:00,22:00:00,1118440800,UTC,FT,1,5,1975,13144,2740,https://cdn.sportmonks.com/images/soccer/teams/24/13144.png,False,,9063,,,,,,,,,,,False,
101,651,2281,465442,14768,10080,,2005-06-10,São Raimundo AM,Caxias,1,1,,,,,,,False,,False,,,,,,5,1918,14768,11108,https://cdn.sportmonks.com/images/soccer/teams/16/14768.png,False,,5165,,,,,,,62145,,,1-1,,,,,,,,,,,3750,,,0,,,,,90,2005-06-10 22:00:00,22:00:00,1118440800,UTC,FT,1,5,1935,10080,,https://cdn.sportmonks.com/images/soccer/teams/0/10080.png,False,,6628,,,,,,,,,,,False,
102,651,2281,465443,11941,3022,,2005-06-11,Vila Nova,Marília,2,1,,,,,,,False,,False,,,,,,5,1943,11941,2150,https://cdn.sportmonks.com/images/soccer/teams/5/11941.png,False,,8090,,,,,,,62145,,,2-1,,,,,,,,,,,3750,,,0,,,,,90,2005-06-11 22:00:00,22:00:00,1118527200,UTC,FT,1,5,1942,3022,1120,https://cdn.sportmonks.com/images/soccer/teams/14/3022.png,False,,1772,,,,,,,,,,,False,
103,651,2281,465444,6468,3440,,2005-06-11,Avaí,Vitória,0,1,,,,,,,False,,False,,,,,,5,1923,6468,1200,https://cdn.sportmonks.com/images/soccer/teams/4/6468.png,False,,4190,,,,,,,62145,,,0-1,,,,,,,,,,,3750,,,0,,,,,90,2005-06-11 22:00:00,22:00:00,1118527200,UTC,FT,1,5,1899,3440,1161,https://cdn.sportmonks.com/images/soccer/teams/16/3440.png,False,,2006,,,,,,,,,,,False,
104,651,2281,465445,13292,8645,,2005-06-13,Ituano,Santo André,0,1,,,,,,,False,,False,,,,,,5,1947,13292,788,https://cdn.sportmonks.com/images/soccer/teams/12/13292.png,False,,9202,,,,,,,62145,,,0-1,,,,,,,,,,,3750,,,0,,,,,90,2005-06-13 22:00:00,22:00:00,1118700000,UTC,FT,1,5,1967,8645,1255,https://cdn.sportmonks.com/images/soccer/teams/5/8645.png,False,,5607,,,,,,,,,,,False,
105,651,2281,465446,13144,9266,,2005-06-13,Gama,Portuguesa,3,2,,,,,,,False,,False,,,,,,5,1975,13144,2740,https://cdn.sportmonks.com/images/soccer/teams/24/13144.png,False,,9063,,,,,,,62145,,,3-2,,,,,,,,,,,3750,,,0,,,,,90,2005-06-13 22:00:00,22:00:00,1118700000,UTC,FT,1,5,1920,9266,794,https://cdn.sportmonks.com/images/soccer/teams/18/9266.png,False,,172,,,,,,,,,,,False,
106,651,2281,465447,12157,11941,,2005-06-16,Náutico,Vila Nova,2,1,,,,,,,False,,False,,,,,,5,1901,12157,1239,https://cdn.sportmonks.com/images/soccer/teams/29/12157.png,False,,8282,,,,,,,62145,,,2-1,,,,,,,,,,,3750,,,0,,,,,90,2005-06-16 22:00:00,22:00:00,1118959200,UTC,FT,1,5,1943,11941,2150,https://cdn.sportmonks.com/images/soccer/teams/5/11941.png,False,,8090,,,,,,,,,,,False,
107,651,2281,465448,6036,3672,,2005-06-16,Criciúma,Guarani,1,1,,,,,,,False,,False,,,,,,5,1947,6036,1198,https://cdn.sportmonks.com/images/soccer/teams/20/6036.png,False,,3930,,,,,,,62146,,,1-1,,,,,,,,,,,3750,,,0,,,,,90,2005-06-16 22:00:00,22:00:00,1118959200,UTC,FT,1,5,1911,3672,1654,https://cdn.sportmonks.com/images/soccer/teams/24/3672.png,False,,2150,,,,,,,,,,,False,
108,651,2281,465449,12220,692,,2005-06-16,Ceará,Bahia,1,1,,,,,,,False,,False,,,,,,5,1914,12220,1170,https://cdn.sportmonks.com/images/soccer/teams/28/12220.png,False,,8332,,,,,,,62146,,,1-1,,,,,,,,,,,3750,,,0,,,,,90,2005-06-16 22:00:00,22:00:00,1118959200,UTC,FT,1,5,1931,692,1153,https://cdn.sportmonks.com/images/soccer/teams/20/692.png,False,,185,,,,,,,,,,,False,
109,651,2281,465450,3022,6188,,2005-06-17,Marília,CRB,2,3,,,,,,,False,,False,,,,,,5,1942,3022,1120,https://cdn.sportmonks.com/images/soccer/teams/14/3022.png,False,,1772,,,,,,,62146,,,2-3,,,,,,,,,,,3750,,,0,,,,,90,2005-06-17 22:00:00,22:00:00,1119045600,UTC,FT,1,5,1912,6188,1238,https://cdn.sportmonks.com/images/soccer/teams/12/6188.png,False,,2256,,,,,,,,,,,False,
110,651,2281,465451,3440,2352,,2005-06-17,Vitória,Sport Recife,3,2,,,,,,,False,,False,,,,,,5,1899,3440,1161,https://cdn.sportmonks.com/images/soccer/teams/16/3440.png,False,,2006,,,,,,,62146,,,3-2,,,,,,,,,,,3750,,,0,,,,,90,2005-06-17 22:00:00,22:00:00,1119045600,UTC,FT,1,5,1905,2352,1232,https://cdn.sportmonks.com/images/soccer/teams/16/2352.png,False,,1425,,,,,,,,,,,False,
111,651,2281,465452,10080,3812,,2005-06-17,Caxias,União Barbarense,0,1,,,,,,,False,,False,,,,,,5,1935,10080,,https://cdn.sportmonks.com/images/soccer/teams/0/10080.png,False,,6628,,,,,,,62146,,,0-1,,,,,,,,,,,3750,,,0,,,,,90,2005-06-17 22:00:00,22:00:00,1119045600,UTC,FT,1,5,1914,3812,,https://cdn.sportmonks.com/images/soccer/teams/4/3812.png,False,,2232,,,,,,,,,,,False,
112,651,2281,465453,6021,6468,,2005-06-17,Paulista,Avaí,2,1,,,,,,,False,,False,,,,,,5,1909,6021,795,https://cdn.sportmonks.com/images/soccer/teams/5/6021.png,False,,3922,,,,,,,62146,,,2-1,,,,,,,,,,,3750,,,0,,,,,90,2005-06-17 22:00:00,22:00:00,1119045600,UTC,FT,1,5,1923,6468,1200,https://cdn.sportmonks.com/images/soccer/teams/4/6468.png,False,,4190,,,,,,,,,,,False,
113,651,2281,465454,6190,2925,,2005-06-18,Anapolina,Grêmio,4,0,,,,,,,False,,False,,,,,,5,1948,6190,1187,https://cdn.sportmonks.com/images/soccer/teams/14/6190.png,False,,2095,,,,,,,62146,,,4-0,,,,,,,,,,,3750,,,0,,,,,90,2005-06-18 22:00:00,22:00:00,1119132000,UTC,FT,1,5,1903,2925,1129,https://cdn.sportmonks.com/images/soccer/teams/13/2925.png,False,,1718,,,,,,,,,,,False,
114,651,2281,465455,31215,14768,,2005-06-18,Santa Cruz,São Raimundo AM,1,0,,,,,,,False,,False,,,,,,5,1914,31215,3184,https://cdn.sportmonks.com/images/soccer/teams/15/31215.png,False,,10554,,,,,,,62146,,,1-0,,,,,,,,,,,3750,,,0,,,,,90,2005-06-18 22:00:00,22:00:00,1119132000,UTC,FT,1,5,1918,14768,11108,https://cdn.sportmonks.com/images/soccer/teams/16/14768.png,False,,5165,,,,,,,,,,,False,
115,651,2281,465456,692,6188,,2005-06-20,Bahia,CRB,5,0,,,,,,,False,,False,,,,,,5,1931,692,1153,https://cdn.sportmonks.com/images/soccer/teams/20/692.png,False,,185,,,,,,,62146,,,5-0,,,,,,,,,,,3750,,,0,,,,,90,2005-06-20 22:00:00,22:00:00,1119304800,UTC,FT,1,5,1912,6188,1238,https://cdn.sportmonks.com/images/soccer/teams/12/6188.png,False,,2256,,,,,,,,,,,False,
