,league_id,season_id,fixture_id,localteam_id,visitorteam_id,team_id,time.starting_at.date,localTeam.data.name,visitorTeam.data.name,scores.localteam_score,scores.visitorteam_score,aggregate_id,attacks,attacks.attacks,attacks.dangerous_attacks,attendance,coaches.localteam_coach_id,coaches.visitorteam_coach_id,commentaries,corners,deleted,formations.localteam_formation,formations.visitorteam_formation,fouls,free_kick,goal_kick,localTeam.data.country_id,localTeam.data.founded,localTeam.data.id,localTeam.data.legacy_id,localTeam.data.logo_path,localTeam.data.national_team,localTeam.data.twitter,localTeam.data.venue_id,offsides,passes,pitch,possessiontime,redcards,referee_id,round_id,saves,scores.et_score,scores.ft_score,scores.ht_score,scores.localteam_pen_score,scores.visitorteam_pen_score,shots.blocked,shots.insidebox,shots.offgoal,shots.ongoal,shots.outsidebox,shots.total,stage_id,standings.localteam_position,standings.visitorteam_position,stats_available,substitutions,throw_in,time.extra_minute,time.injury_time,time.minute,time.starting_at.date_time,time.starting_at.time,time.starting_at.timestamp,time.starting_at.timezone,time.status,venue_id,visitorTeam.data.country_id,visitorTeam.data.founded,visitorTeam.data.id,visitorTeam.data.legacy_id,visitorTeam.data.logo_path,visitorTeam.data.national_team,visitorTeam.data.twitter,visitorTeam.data.venue_id,weather_report,weather_report.clouds,weather_report.code,weather_report.humidity,weather_report.icon,weather_report.temperature.temp,weather_report.temperature.unit,weather_report.type,weather_report.wind.degree,weather_report.wind.speed,winning_odds_calculated,yellowcards
944,78,5383,1075178,2799,2565,,2015-08-26,Blauw Geel '38,Scheveningen,0,1,,,,,,,,False,,False,,,,,,38,1938,2799,3621,,False,,1655,,,,,,,,,,0-1,0-1,0,0,,,,,,,10541,,,0,,,,,90,2015-08-26 18:00:00,18:00:00,1440612000,UTC,FT,1655,38,1919,2565,3622,https://cdn.sportmonks.com/images/soccer/teams/5/2565.png,False,,1534,,,,,,,,,,,False,
945,78,5383,1075189,2551,2902,,2015-08-26,OJC Rosmalen,Sparta Nijkerk,2,2,,,,,,,,False,,False,,,,,,38,1910,2551,3636,https://cdn.sportmonks.com/images/soccer/teams/23/2551.png,False,,1526,,,,,,,,,2 - 2,2-2,1-1,6,5,,,,,,,10541,,,0,,,30,,90,2015-08-26 18:00:00,18:00:00,1440612000,UTC,FT_PEN,1526,38,1931,2902,3637,https://cdn.sportmonks.com/images/soccer/teams/22/2902.png,False,,1706,,,,,,,,,,,False,
946,78,5383,1075190,2401,3069,,2015-08-26,TEC,Berkum,0,1,,,,,,,,False,,False,,,,,,765143,0,2401,3638,,False,,31,,,,,,,,,,0-1,0-0,0,0,,,,,,,10541,,,0,,,,,90,2015-08-26 18:00:00,18:00:00,1440612000,UTC,FT,1935,38,1961,3069,3639,,False,,1796,,,,,,,,,,,False,
947,78,5383,1075199,2916,233,,2015-08-26,Harkemase Boys,De Treffers,1,3,,,,,,,,False,,False,,,,,,38,1946,2916,3625,https://cdn.sportmonks.com/images/soccer/teams/4/2916.png,False,,1714,,,,,,,,,,1-3,0-1,0,0,,,,,,,10541,,,0,,,,,90,2015-08-26 18:00:00,18:00:00,1440612000,UTC,FT,1714,38,1919,233,3626,https://cdn.sportmonks.com/images/soccer/teams/9/233.png,False,,1941,,,,,,,,,,,False,
948,78,5383,1075207,2429,2560,,2015-08-26,IJsselmeervogels,Koninklijke HFC,0,1,,,,,,,,False,,False,,,,,,38,1932,2429,3632,https://cdn.sportmonks.com/images/soccer/teams/29/2429.png,False,,1459,,,,,,,,,,0-1,0-0,0,0,,,,,,,10541,,,0,,,,,90,2015-08-26 18:00:00,18:00:00,1440612000,UTC,FT,836,765143,0,2560,3633,,False,,31,,,,,,,,,,,False,
949,78,5383,1075208,2854,2884,,2015-08-26,Groene Ster,ACV,0,2,,,,,,,,False,,False,,,,,,38,0,2854,3623,https://cdn.sportmonks.com/images/soccer/teams/6/2854.png,False,,1682,,,,,,,,,,0-2,0-1,0,0,,,,,,,10541,,,0,,,,,90,2015-08-26 18:00:00,18:00:00,1440612000,UTC,FT,1682,38,1939,2884,3624,https://cdn.sportmonks.com/images/soccer/teams/4/2884.png,False,,1697,,,,,,,,,,,False,
950,78,5383,1075217,2838,20588,,2015-08-26,Excelsior '31,SCM,10,2,,,,,,,,False,,False,,,,,,38,1931,2838,3656,https://cdn.sportmonks.com/images/soccer/teams/22/2838.png,False,,1675,,,,,,,,,,10-2,6-2,0,0,,,,,,,10541,,,0,,,,,90,2015-08-26 18:00:00,18:00:00,1440612000,UTC,FT,1675,765143,0,20588,3657,,False,,,,,,,,,,,,,False,
951,78,5383,1075230,2533,2979,,2015-08-26,USV Hercules,Noordwijk,2,2,,,,,,,,False,,False,,,,,,38,0,2533,3642,https://cdn.sportmonks.com/images/soccer/teams/5/2533.png,False,,1516,,,,,,,,,2 - 2,1-1,1-1,3,4,,,,,,,10541,,,0,,,30,,90,2015-08-26 18:00:00,18:00:00,1440612000,UTC,FT_PEN,1516,38,1933,2979,3643,https://cdn.sportmonks.com/images/soccer/teams/3/2979.png,False,,1750,,,,,,,,,,,False,
952,78,5383,1075231,2850,2543,,2015-08-26,HSC '21,Excelsior Maassluis,2,1,,,,,,,,False,,False,,,,,,38,1921,2850,3630,https://cdn.sportmonks.com/images/soccer/teams/2/2850.png,False,,1680,,,,,,,,,2 - 1,1-1,0-0,0,0,,,,,,,10541,,,0,,,30,,120,2015-08-26 18:00:00,18:00:00,1440612000,UTC,AET,1680,38,0,2543,3631,https://cdn.sportmonks.com/images/soccer/teams/15/2543.png,False,,1520,,,,,,,,,,,False,
953,78,5383,1075242,2898,1814,,2015-09-02,Lisse,Halsteren,2,1,,,,,,,,False,,False,,,,,,38,1981,2898,3660,https://cdn.sportmonks.com/images/soccer/teams/18/2898.png,False,,1705,,,,,,,,,,2-1,1-1,0,0,,,,,,,10541,,,0,,,,,90,2015-09-02 18:00:00,18:00:00,1441216800,UTC,FT,1705,765143,0,1814,3661,,False,,,,,,,,,,,,,False,
