,league_id,season_id,fixture_id,localteam_id,visitorteam_id,team_id,time.starting_at.date,localTeam.data.name,visitorTeam.data.name,scores.localteam_score,scores.visitorteam_score,aggregate_id,attacks,attacks.attacks,attacks.dangerous_attacks,attendance,coaches.localteam_coach_id,coaches.visitorteam_coach_id,commentaries,corners,deleted,formations.localteam_formation,formations.visitorteam_formation,fouls,free_kick,goal_kick,localTeam.data.country_id,localTeam.data.founded,localTeam.data.id,localTeam.data.legacy_id,localTeam.data.logo_path,localTeam.data.national_team,localTeam.data.twitter,localTeam.data.venue_id,offsides,passes,pitch,possessiontime,redcards,referee_id,round_id,saves,scores.et_score,scores.ft_score,scores.ht_score,scores.localteam_pen_score,scores.visitorteam_pen_score,shots,shots.blocked,shots.insidebox,shots.offgoal,shots.ongoal,shots.outsidebox,shots.total,stage_id,standings.localteam_position,standings.visitorteam_position,stats_available,substitutions,throw_in,time.extra_minute,time.injury_time,time.minute,time.starting_at.date_time,time.starting_at.time,time.starting_at.timestamp,time.starting_at.timezone,time.status,venue_id,visitorTeam.data.country_id,visitorTeam.data.founded,visitorTeam.data.id,visitorTeam.data.legacy_id,visitorTeam.data.logo_path,visitorTeam.data.national_team,visitorTeam.data.twitter,visitorTeam.data.venue_id,weather_report,weather_report.clouds,weather_report.code,weather_report.humidity,weather_report.icon,weather_report.temperature.temp,weather_report.temperature.unit,weather_report.type,weather_report.wind.degree,weather_report.wind.speed,winning_odds_calculated,yellowcards
433,570,5675,1096010,3477,13394,,2009-11-10,Villarreal,Puertollano,1,0,7961,,,,,,,False,,False,,,,,,32,1923,3477,140,https://cdn.sportmonks.com/images/soccer/teams/21/3477.png,False,@VillarrealCF,2028,,,,,,,,,,1-0,0-0,0,0,,,,,,,,12245,,,0,,,,,90,2009-11-10 18:00:00,18:00:00,1257876000,UTC,FT,9185,32,1948,13394,,https://cdn.sportmonks.com/images/soccer/teams/18/13394.png,False,,9292,,,,,,,,,,,False,
434,570,5675,1096017,361,645,,2009-10-29,Real Valladolid,Mallorca,2,1,7969,,,,,,,False,,False,,,,,,32,1928,361,302,https://cdn.sportmonks.com/images/soccer/teams/9/361.png,False,,9323,,,,,,,,,,2-1,1-1,0,0,,,,,,,,12245,,,0,,,,,90,2009-10-29 19:00:00,19:00:00,1256842800,UTC,FT,9188,32,1916,645,315,https://cdn.sportmonks.com/images/soccer/teams/5/645.png,False,,162,,,,,,,,,,,False,
435,570,5675,1096026,645,361,,2009-11-11,Mallorca,Real Valladolid,1,0,7969,,,,,,,False,,False,,,,,,32,1916,645,315,https://cdn.sportmonks.com/images/soccer/teams/5/645.png,False,,162,,,,,,,,,,1-0,1-0,0,0,,,,,,,,12245,,,0,,,,,90,2009-11-11 20:00:00,20:00:00,1257969600,UTC,FT,9172,32,1928,361,302,https://cdn.sportmonks.com/images/soccer/teams/9/361.png,False,,9323,,,,,,,,,,,False,
436,570,5675,1096033,13342,9818,,2009-10-29,Salamanca,Racing Santander,1,0,7976,,,,,,,False,,False,,,,,,32,1923,13342,,https://cdn.sportmonks.com/images/soccer/teams/30/13342.png,False,,9251,,,,,,,,,,1-0,0-0,0,0,,,,,,,,12245,,,0,,,,,90,2009-10-29 19:00:00,19:00:00,1256842800,UTC,FT,9251,32,1913,9818,320,https://cdn.sportmonks.com/images/soccer/teams/26/9818.png,False,,6445,,,,,,,,,,,False,
437,570,5675,1096041,9818,13342,,2009-11-11,Racing Santander,Salamanca,4,1,7976,,,,,,,False,,False,,,,,,32,1913,9818,320,https://cdn.sportmonks.com/images/soccer/teams/26/9818.png,False,,6445,,,,,,,,,,4-1,2-1,0,0,,,,,,,,12245,,,0,,,,,90,2009-11-11 20:00:00,20:00:00,1257969600,UTC,FT,9176,32,1923,13342,,https://cdn.sportmonks.com/images/soccer/teams/30/13342.png,False,,9251,,,,,,,,,,,False,
438,570,5675,1096049,25789,1061,,2009-10-07,Lagun Onak,Alcorcón,1,2,,,,,,,,False,,False,,,,,,32,1944,25789,10083,https://cdn.sportmonks.com/images/soccer/teams/29/25789.png,False,,20451,,,,,,,,,,1-2,,0,0,,,,,,,,12285,,,0,,,,,90,2009-10-07 17:30:00,17:30:00,1254936600,UTC,FT,1,32,1971,1061,311,https://cdn.sportmonks.com/images/soccer/teams/5/1061.png,False,,412,,,,,,,,,,,False,
439,570,5675,1096050,13342,12652,,2009-10-07,Salamanca,FC Cartagena,2,0,,,,,,,,False,,False,,,,,,32,1923,13342,,https://cdn.sportmonks.com/images/soccer/teams/30/13342.png,False,,9251,,,,,,,,,,2-0,,0,0,,,,,,,,12285,,,0,,,,,90,2009-10-07 18:45:00,18:45:00,1254941100,UTC,FT,1,32,1995,12652,10496,https://cdn.sportmonks.com/images/soccer/teams/12/12652.png,False,,8617,,,,,,,,,,,False,
440,570,5675,1096051,13394,6050,,2009-10-07,Puertollano,Sant Andreu,2,1,,,,,,,,False,,False,,,,,,32,1948,13394,,https://cdn.sportmonks.com/images/soccer/teams/18/13394.png,False,,9292,,,,,,,,,,2-1,,0,0,,,,,,,,12285,,,0,,,,,90,2009-10-07 18:45:00,18:45:00,1254941100,UTC,FT,1,32,1909,6050,2688,https://cdn.sportmonks.com/images/soccer/teams/2/6050.png,False,,3937,,,,,,,,,,,False,
441,570,5675,1096052,931,377,,2009-10-07,Córdoba,Rayo Vallecano,0,1,,,,,,,,False,,False,,,,,,32,1954,931,300,https://cdn.sportmonks.com/images/soccer/teams/3/931.png,False,,338,,,,,,,,,0 - 1,0-1,,0,0,,,,,,,,12285,,,0,,,,,90,2009-10-07 19:00:00,19:00:00,1254942000,UTC,FT,1,32,1924,377,292,https://cdn.sportmonks.com/images/soccer/teams/25/377.png,False,,31518,,,,,,,,,,,False,
442,570,5675,1096053,1886,2921,,2009-10-07,Recreativo Huelva,Las Palmas,2,1,,,,,,,,False,,False,,,,,,32,1889,1886,321,https://cdn.sportmonks.com/images/soccer/teams/30/1886.png,False,,979,,,,,,,,,,2-1,,0,0,,,,,,,,12285,,,0,,,,,90,2009-10-07 19:00:00,19:00:00,1254942000,UTC,FT,1,32,1949,2921,301,https://cdn.sportmonks.com/images/soccer/teams/9/2921.png,False,@UDLP_Oficial,1716,,,,,,,,,,,False,
