,league_id,season_id,fixture_id,localteam_id,visitorteam_id,team_id,time.starting_at.date,localTeam.data.name,visitorTeam.data.name,scores.localteam_score,scores.visitorteam_score,aggregate_id,attacks,attendance,coaches.localteam_coach_id,coaches.visitorteam_coach_id,commentaries,corners,deleted,formations.localteam_formation,formations.visitorteam_formation,fouls,free_kick,goal_kick,localTeam.data.country_id,localTeam.data.founded,localTeam.data.id,localTeam.data.legacy_id,localTeam.data.logo_path,localTeam.data.national_team,localTeam.data.twitter,localTeam.data.venue_id,offsides,passes,pitch,possessiontime,redcards,referee_id,round_id,saves,scores.et_score,scores.ft_score,scores.ht_score,scores.localteam_pen_score,scores.visitorteam_pen_score,shots.blocked,shots.insidebox,shots.offgoal,shots.ongoal,shots.outsidebox,shots.total,stage_id,standings.localteam_position,standings.visitorteam_position,stats_available,substitutions,throw_in,time.extra_minute,time.injury_time,time.minute,time.starting_at.date_time,time.starting_at.time,time.starting_at.timestamp,time.starting_at.timezone,time.status,venue_id,visitorTeam.data.country_id,visitorTeam.data.founded,visitorTeam.data.id,visitorTeam.data.legacy_id,visitorTeam.data.logo_path,visitorTeam.data.national_team,visitorTeam.data.twitter,visitorTeam.data.venue_id,weather_report,winning_odds_calculated,yellowcards
0,1114,5875,1110850,18711,15265,,2007-07-06,Venezuela,Uruguay,1,4,,,,,,False,,False,,,,,,275,1926,18711,1365,https://cdn.sportmonks.com/images/soccer/teams/23/18711.png,True,,5418,,,,,,,,,,1-4,1-1,0,0,,,,,,,13326,,,0,,,,,90,2007-07-06 22:05:00,22:05:00,1183759500,UTC,FT,1,1739,1936,15265,1355,https://cdn.sportmonks.com/images/soccer/teams/1/15265.png,False,,10990,,False,
1,1114,5875,1110851,18774,18704,,2007-07-07,Chile,Brazil,1,6,,,,,,False,,False,,,,,,80,1895,18774,1343,https://cdn.sportmonks.com/images/soccer/teams/22/18774.png,True,,14489,,,,,,,,,,1-6,0-3,0,0,,,,,,,13326,,,0,,,,,90,2007-07-07 00:50:00,00:50:00,1183769400,UTC,FT,1,5,1914,18704,1341,https://cdn.sportmonks.com/images/soccer/teams/16/18704.png,True,,392,,False,
2,1114,5875,1110854,18644,18775,,2007-07-07,Argentina,Peru,4,0,,,,,,False,,False,,,,,,44,1893,18644,1350,https://cdn.sportmonks.com/images/soccer/teams/20/18644.png,True,,6569,,,,,,,,,,4-0,0-0,0,0,,,,,,,13326,,,0,,,,,90,2007-07-07 22:50:00,22:50:00,1183848600,UTC,FT,1,338,1922,18775,1364,https://cdn.sportmonks.com/images/soccer/teams/23/18775.png,True,,11432,,False,
3,1114,5875,1110856,18576,18723,,2007-07-08,Mexico,Paraguay,6,0,,,,,,False,,False,,,,,,458,1927,18576,1356,https://cdn.sportmonks.com/images/soccer/teams/16/18576.png,True,,1599,,,,,,,,,,6-0,3-0,0,0,,,,,,,13326,,,0,,,,,90,2007-07-08 20:05:00,20:05:00,1183925100,UTC,FT,1,1190,1906,18723,1344,https://cdn.sportmonks.com/images/soccer/teams/3/18723.png,True,,11408,,False,
4,1114,5875,1110857,15265,18704,,2007-07-10,Uruguay,Brazil,2,2,,,,,,False,,False,,,,,,1739,1936,15265,1355,https://cdn.sportmonks.com/images/soccer/teams/1/15265.png,False,,10990,,,,,,,,,2 - 2,2-2,1-2,4,5,,,,,,,13327,,,0,,,,,90,2007-07-10 00:50:00,00:50:00,1184028600,UTC,FT,1,5,1914,18704,1341,https://cdn.sportmonks.com/images/soccer/teams/16/18704.png,True,,392,,False,
5,1114,5875,1110859,18576,18644,,2007-07-11,Mexico,Argentina,0,3,,,,,,False,,False,,,,,,458,1927,18576,1356,https://cdn.sportmonks.com/images/soccer/teams/16/18576.png,True,,1599,,,,,,,,,,0-3,0-1,0,0,,,,,,,13327,,,0,,,,,90,2007-07-11 00:50:00,00:50:00,1184115000,UTC,FT,1,44,1893,18644,1350,https://cdn.sportmonks.com/images/soccer/teams/20/18644.png,True,,6569,,False,
6,1114,5875,1110862,18644,18704,,2007-07-15,Argentina,Brazil,0,3,,,,,,False,,False,,,,,,44,1893,18644,1350,https://cdn.sportmonks.com/images/soccer/teams/20/18644.png,True,,6569,,,,,,,,,,0-3,0-2,0,0,,,,,,,13328,,,0,,,,,90,2007-07-15 21:05:00,21:05:00,1184533500,UTC,FT,1,5,1914,18704,1341,https://cdn.sportmonks.com/images/soccer/teams/16/18704.png,True,,392,,False,
7,1114,5875,1110863,18576,15265,,2007-07-14,Mexico,Uruguay,3,1,,,,,,False,,False,,,,,,458,1927,18576,1356,https://cdn.sportmonks.com/images/soccer/teams/16/18576.png,True,,1599,,,,,,,125074,,,3-1,1-1,0,0,,,,,,,13329,,,0,,,,,90,2007-07-14 21:05:00,21:05:00,1184447100,UTC,FT,1,1739,1936,15265,1355,https://cdn.sportmonks.com/images/soccer/teams/1/15265.png,False,,10990,,False,
8,1114,5875,1110864,15265,18775,,2007-06-25,Uruguay,Peru,0,3,,,,,,False,,False,,,,,,1739,1936,15265,1355,https://cdn.sportmonks.com/images/soccer/teams/1/15265.png,False,,10990,,,,,,,125076,,,0-3,0-1,0,0,,,,,,,13330,,,0,,,,,90,2007-06-25 22:05:00,22:05:00,1182809100,UTC,FT,1,338,1922,18775,1364,https://cdn.sportmonks.com/images/soccer/teams/23/18775.png,True,,11432,,False,
9,1114,5875,1110865,18711,18825,,2007-06-26,Venezuela,Bolivia,2,2,,,,,,False,,False,,,,,,275,1926,18711,1365,https://cdn.sportmonks.com/images/soccer/teams/23/18711.png,True,,5418,,,,,,,125076,,,2-2,1-1,0,0,,,,,,,13330,,,0,,,,,90,2007-06-26 00:45:00,00:45:00,1182818700,UTC,FT,1,7598,1925,18825,1336,https://cdn.sportmonks.com/images/soccer/teams/9/18825.png,True,,4082,,False,
10,1114,5875,1110868,18573,18774,,2007-06-26,Ecuador,Chile,2,3,,,,,,False,,False,,,,,,459,1925,18573,1357,https://cdn.sportmonks.com/images/soccer/teams/13/18573.png,True,,1463,,,,,,,125076,,,2-3,2-1,0,0,,,,,,,13330,,,0,,,,,90,2007-06-26 22:45:00,22:45:00,1182897900,UTC,FT,1,80,1895,18774,1343,https://cdn.sportmonks.com/images/soccer/teams/22/18774.png,True,,14489,,False,
