,league_id,season_id,fixture_id,localteam_id,visitorteam_id,team_id,time.starting_at.date,localTeam.data.name,visitorTeam.data.name,scores.localteam_score,scores.visitorteam_score,aggregate_id,attacks.attacks,attacks.dangerous_attacks,attendance,coaches.localteam_coach_id,coaches.visitorteam_coach_id,commentaries,corners,deleted,formations.localteam_formation,formations.visitorteam_formation,fouls,free_kick,goal_kick,localTeam.data.country_id,localTeam.data.founded,localTeam.data.id,localTeam.data.legacy_id,localTeam.data.logo_path,localTeam.data.national_team,localTeam.data.twitter,localTeam.data.venue_id,offsides,passes,pitch,possessiontime,redcards,referee_id,round_id,saves,scores.et_score,scores.ft_score,scores.ht_score,scores.localteam_pen_score,scores.visitorteam_pen_score,shots.blocked,shots.insidebox,shots.offgoal,shots.ongoal,shots.outsidebox,shots.total,stage_id,standings.localteam_position,standings.visitorteam_position,stats_available,substitutions,throw_in,time.extra_minute,time.injury_time,time.minute,time.starting_at.date_time,time.starting_at.time,time.starting_at.timestamp,time.starting_at.timezone,time.status,venue_id,visitorTeam.data.country_id,visitorTeam.data.founded,visitorTeam.data.id,visitorTeam.data.legacy_id,visitorTeam.data.logo_path,visitorTeam.data.national_team,visitorTeam.data.twitter,visitorTeam.data.venue_id,weather_report,weather_report.clouds,weather_report.code,weather_report.humidity,weather_report.icon,weather_report.temperature.temp,weather_report.temperature.unit,weather_report.type,weather_report.wind.degree,weather_report.wind.speed,winning_odds_calculated,yellowcards
447,579,2093,411696,1856,2535,,2007-09-30,Ljungskile,Häcken,1,0,,,,,,,False,,False,,,,,,47,1926,1856,1399,https://cdn.sportmonks.com/images/soccer/teams/0/1856.png,False,,960,,,,,,,56068,,,1-0,,,,,,,,,,3412,,,0,,,,,90,2007-09-30 14:00:00,14:00:00,1191160800,UTC,FT,1,47,1940,2535,1394,https://cdn.sportmonks.com/images/soccer/teams/7/2535.png,False,,1512,,,,,,,,,,,False,
448,579,2093,411697,1405,3167,,2007-10-01,Jönköpings Södra,Falkenberg,1,3,,,,,,,False,,False,,,,,,47,1922,1405,1398,https://cdn.sportmonks.com/images/soccer/teams/29/1405.png,False,,639,,,,,,,56068,,,1-3,,,,,,,,,,3412,,,0,,,,,90,2007-10-01 17:00:00,17:00:00,1191258000,UTC,FT,1,47,1928,3167,1378,https://cdn.sportmonks.com/images/soccer/teams/31/3167.png,False,,1855,,,,,,,,,,,False,
449,579,2093,411698,1870,551,,2007-10-02,Örgryte,Landskrona,2,4,,,,,,,False,,False,,,,,,47,1887,1870,1298,https://cdn.sportmonks.com/images/soccer/teams/14/1870.png,False,,26059,,,,,,,56068,,,2-4,,,,,,,,,,3412,,,0,,,,,90,2007-10-02 17:00:00,17:00:00,1191344400,UTC,FT,1,47,1915,551,3201,https://cdn.sportmonks.com/images/soccer/teams/7/551.png,False,,101,,,,,,,,,,,False,
450,579,2093,411699,3603,13533,,2007-10-02,Norrköping,Bunkeflo IF,1,2,,,,,,,False,,False,,,,,,47,1897,3603,1395,https://cdn.sportmonks.com/images/soccer/teams/19/3603.png,False,,2111,,,,,,,56068,,,1-2,,,,,,,,,,3412,,,0,,,,,90,2007-10-02 17:00:00,17:00:00,1191344400,UTC,FT,1,47,0,13533,,https://cdn.sportmonks.com/images/soccer/teams/29/13533.png,False,,,,,,,,,,,,,False,
451,579,2093,411700,11969,411,,2007-10-04,Sylvia,Mjällby,1,3,,,,,,,False,,False,,,,,,47,1922,11969,2798,https://cdn.sportmonks.com/images/soccer/teams/1/11969.png,False,,2111,,,,,,,56068,,,1-3,,,,,,,,,,3412,,,0,,,,,90,2007-10-04 17:00:00,17:00:00,1191517200,UTC,FT,1,47,1939,411,1272,https://cdn.sportmonks.com/images/soccer/teams/27/411.png,False,,29,,,,,,,,,,,False,
452,579,2093,411701,2876,1856,,2007-10-07,Öster,Ljungskile,0,1,,,,,,,False,,False,,,,,,47,1930,2876,1278,https://cdn.sportmonks.com/images/soccer/teams/28/2876.png,False,,1693,,,,,,,56068,,,0-1,,,,,,,,,,3412,,,0,,,,,90,2007-10-07 12:00:00,12:00:00,1191758400,UTC,FT,1,47,1926,1856,1399,https://cdn.sportmonks.com/images/soccer/teams/0/1856.png,False,,960,,,,,,,,,,,False,
453,579,2093,411702,3167,2753,,2007-10-07,Falkenberg,Degerfors,1,2,,,,,,,False,,False,,,,,,47,1928,3167,1378,https://cdn.sportmonks.com/images/soccer/teams/31/3167.png,False,,1855,,,,,,,56069,,,1-2,,,,,,,,,,3412,,,0,,,,,90,2007-10-07 12:00:00,12:00:00,1191758400,UTC,FT,1,47,1907,2753,1373,https://cdn.sportmonks.com/images/soccer/teams/1/2753.png,False,,1632,,,,,,,,,,,False,
454,579,2093,411703,13533,13535,,2007-10-07,Bunkeflo IF,Enkoping,0,2,,,,,,,False,,False,,,,,,47,0,13533,,https://cdn.sportmonks.com/images/soccer/teams/29/13533.png,False,,,,,,,,,56069,,,0-2,,,,,,,,,,3412,,,0,,,,,90,2007-10-07 12:00:00,12:00:00,1191758400,UTC,FT,1,47,1914,13535,,https://cdn.sportmonks.com/images/soccer/teams/31/13535.png,False,,9401,,,,,,,,,,,False,
455,579,2093,411704,2535,2531,,2007-10-08,Häcken,Åtvidaberg,4,1,,,,,,,False,,False,,,,,,47,1940,2535,1394,https://cdn.sportmonks.com/images/soccer/teams/7/2535.png,False,,1512,,,,,,,56069,,,4-1,,,,,,,,,,3412,,,0,,,,,90,2007-10-08 17:00:00,17:00:00,1191862800,UTC,FT,1,47,1907,2531,1379,https://cdn.sportmonks.com/images/soccer/teams/3/2531.png,False,,1513,,,,,,,,,,,False,
456,579,2093,411705,551,1405,,2007-10-08,Landskrona,Jönköpings Södra,2,0,,,,,,,False,,False,,,,,,47,1915,551,3201,https://cdn.sportmonks.com/images/soccer/teams/7/551.png,False,,101,,,,,,,56069,,,2-0,,,,,,,,,,3412,,,0,,,,,90,2007-10-08 17:00:00,17:00:00,1191862800,UTC,FT,1,47,1922,1405,1398,https://cdn.sportmonks.com/images/soccer/teams/29/1405.png,False,,639,,,,,,,,,,,False,
457,579,2093,411706,3603,2678,,2007-10-08,Norrköping,Sirius,2,1,,,,,,,False,,False,,,,,,47,1897,3603,1395,https://cdn.sportmonks.com/images/soccer/teams/19/3603.png,False,,2111,,,,,,,56069,,,2-1,,,,,,,,,,3412,,,0,,,,,90,2007-10-08 17:00:00,17:00:00,1191862800,UTC,FT,1,47,1907,2678,1371,https://cdn.sportmonks.com/images/soccer/teams/22/2678.png,False,,1592,,,,,,,,,,,False,
458,579,2093,411707,9179,1870,,2007-10-09,GIF Sundsvall,Örgryte,2,0,,,,,,,False,,False,,,,,,47,1903,9179,1391,https://cdn.sportmonks.com/images/soccer/teams/27/9179.png,False,,5976,,,,,,,56069,,,2-0,,,,,,,,,,3412,,,0,,,,,90,2007-10-09 17:00:00,17:00:00,1191949200,UTC,FT,1,47,1887,1870,1298,https://cdn.sportmonks.com/images/soccer/teams/14/1870.png,False,,26059,,,,,,,,,,,False,
459,579,2093,411708,1856,3167,,2007-10-13,Ljungskile,Falkenberg,1,1,,,,,,,False,,False,,,,,,47,1926,1856,1399,https://cdn.sportmonks.com/images/soccer/teams/0/1856.png,False,,960,,,,,,,56069,,,1-1,,,,,,,,,,3412,,,0,,,,,90,2007-10-13 14:00:00,14:00:00,1192284000,UTC,FT,1,47,1928,3167,1378,https://cdn.sportmonks.com/images/soccer/teams/31/3167.png,False,,1855,,,,,,,,,,,False,
460,579,2093,411709,2531,2876,,2007-10-13,Åtvidaberg,Öster,2,0,,,,,,,False,,False,,,,,,47,1907,2531,1379,https://cdn.sportmonks.com/images/soccer/teams/3/2531.png,False,,1513,,,,,,,56069,,,2-0,,,,,,,,,,3412,,,0,,,,,90,2007-10-13 14:00:00,14:00:00,1192284000,UTC,FT,1,47,1930,2876,1278,https://cdn.sportmonks.com/images/soccer/teams/28/2876.png,False,,1693,,,,,,,,,,,False,
461,579,2093,411710,13535,11969,,2007-10-13,Enkoping,Sylvia,1,1,,,,,,,False,,False,,,,,,47,1914,13535,,https://cdn.sportmonks.com/images/soccer/teams/31/13535.png,False,,9401,,,,,,,56069,,,1-1,,,,,,,,,,3412,,,0,,,,,90,2007-10-13 14:00:00,14:00:00,1192284000,UTC,FT,1,47,1922,11969,2798,https://cdn.sportmonks.com/images/soccer/teams/1/11969.png,False,,2111,,,,,,,,,,,False,
462,579,2093,411711,2753,551,,2007-10-13,Degerfors,Landskrona,3,1,,,,,,,False,,False,,,,,,47,1907,2753,1373,https://cdn.sportmonks.com/images/soccer/teams/1/2753.png,False,,1632,,,,,,,56069,,,3-1,,,,,,,,,,3412,,,0,,,,,90,2007-10-13 14:00:00,14:00:00,1192284000,UTC,FT,1,47,1915,551,3201,https://cdn.sportmonks.com/images/soccer/teams/7/551.png,False,,101,,,,,,,,,,,False,
