2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Manchester United,Arsenal,Manchester United,Arsenal,Chelsea,Chelsea,Manchester United,Manchester United,Manchester United,Chelsea,Manchester United,Manchester City,Manchester United,Manchester City,Chelsea,Leicester City,Chelsea
Arsenal,Liverpool,Arsenal,Chelsea,Arsenal,Manchester United,Chelsea,Chelsea,Liverpool,Manchester United,Chelsea,Manchester United,Manchester City,Liverpool,Manchester City,Arsenal,Tottenham Hotspur
Liverpool,Manchester United,Newcastle United,Manchester United,Manchester United,Liverpool,Liverpool,Arsenal,Chelsea,Arsenal,Manchester City,Arsenal,Chelsea,Chelsea,Arsenal,Tottenham Hotspur,Manchester City
