2008,2009,2010,2011,2012,2013,2014
Columbus Crew,Real Salt Lake,Colorado Rapids,Houston Dynamo,Houston Dynamo,Sporting Kansas City,New England Revolution
New York Red Bulls,LA Galaxy,FC Dallas,LA Galaxy,LA Galaxy,Real Salt Lake,LA Galaxy
