2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Real Madrid,Valencia,Real Madrid,Valencia,Barcelona,Barcelona,Real Madrid,Real Madrid,Barcelona,Barcelona,Barcelona,Real Madrid,Barcelona,Atlético Madrid,Barcelona,Barcelona,Real Madrid
Deportivo La Coruña,Deportivo La Coruña,Real Sociedad,Barcelona,Real Madrid,Real Madrid,Barcelona,Villarreal,Real Madrid,Real Madrid,Real Madrid,Barcelona,Real Madrid,Barcelona,Real Madrid,Real Madrid,Barcelona
Mallorca,Real Madrid,Deportivo La Coruña,Deportivo La Coruña,Villarreal,Valencia,Sevilla,Barcelona,Sevilla,Valencia,Valencia,Valencia,Atlético Madrid,Real Madrid,Atlético Madrid,Atlético Madrid,Atlético Madrid
