2012,2013,2014,2015,2016,2017
Uruguay,Chile,Chile,Chile,Chile,Chile
Paraguay,Argentina,Argentina,Argentina,Argentina,Argentina
Peru,Peru,Colombia,Colombia,Colombia,Colombia
