season_id,winner_mod_local,winner_mod_tie,winner_mod_visit,total
2006,170,118,92,380
2007,181,117,82,380
2008,167,116,97,380
2009,165,112,103,380
2010,174,94,102,370
2011,157,130,93,380
2012,179,108,93,380
2013,170,108,102,380
2014,168,108,104,380
2015,182,87,111,380
2016,160,108,112,380
2017,186,95,99,380
2018,44,24,33,101
