season_id,winner_mod_local,winner_mod_tie,winner_mod_visit,total
2006,130,96,79,305
2007,134,79,92,305
2008,143,78,84,305
2009,147,74,85,306
2010,121,82,93,296
2011,141,63,102,306
2012,140,79,87,306
2013,130,78,98,306
2014,145,64,97,306
2015,144,82,79,305
2016,135,71,100,306
2017,150,74,82,306
2018,35,25,22,82
