season_id,winner_mod_local,winner_mod_tie,winner_mod_visit,total
2006,192,77,111,380
2007,182,98,100,380
2008,176,100,104,380
2009,173,97,110,380
2010,186,94,90,370
2011,175,109,86,370
2012,171,93,116,380
2013,166,108,106,380
2014,179,78,123,380
2015,172,93,115,380
2016,157,107,116,380
2017,187,84,109,380
2018,39,22,28,89
