,fixture_id,time.starting_at.date,Team.data.name,op_Team.data.name,gs_expected_score,gs_op_expected_score,gs_local_prob,gs_tie_prob,gs_visitor_prob,gs_expected_winner,winner,score,op_score,is_home,expected_goals,op_expected_goals
0,360634.0,2011-12-20,Blackburn Rovers,Bolton Wanderers,1.6586423296660855,1.1150513490802014,0.5004892742224637,0.2436200880838582,0.25588916370474213,Blackburn Rovers,Bolton Wanderers,1.0,2.0,1.0,1.177807,1.285209
1,360629.0,2011-12-21,Queens Park Rangers,Sunderland,1.3487910013812359,1.0516158801217521,0.4354033883210535,0.2727770130816747,0.29181938525517864,Queens Park Rangers,Sunderland,2.0,3.0,1.0,1.2546979999999999,1.18918
2,360636.0,2011-12-21,Fulham,Manchester United,1.477048071243345,1.4540792376393166,0.3819895354116346,0.2462274372848602,0.371782143230038,Fulham,Manchester United,0.0,5.0,1.0,1.618411,2.032893
3,360637.0,2011-12-21,Manchester City,Stoke City,3.189730384571421,1.1177111034502198,0.7769996053601798,0.12560736973232545,0.09690867368930998,Manchester City,Manchester City,3.0,0.0,1.0,1.595249,1.3097459999999999
4,360638.0,2011-12-21,Newcastle United,West Bromwich Albion,1.5642818734382216,1.1488740178888512,0.46930527827882257,0.25106991657696265,0.2796239389264096,Newcastle United,West Bromwich Albion,2.0,3.0,1.0,1.336587,1.1817870000000001
5,360640.0,2011-12-26,Bolton Wanderers,Newcastle United,1.5182296632699575,1.1502434178914083,0.4573431478030367,0.25482308250044494,0.28783310899792014,Bolton Wanderers,Newcastle United,0.0,2.0,1.0,1.012355,1.471234
6,360641.0,2011-12-26,Chelsea,Fulham,2.3573633374854546,0.9342526169346879,0.6904481993881636,0.1769078837393789,0.13260719393743325,Chelsea,tie,1.0,1.0,1.0,1.654141,1.214636
7,360642.0,2011-12-26,Liverpool,Blackburn Rovers,1.8036240201133682,1.1203772021857372,0.5336527773339121,0.23110791473208475,0.2352360930985058,Liverpool,tie,1.0,1.0,1.0,2.102986,1.088172
8,360643.0,2011-12-26,Manchester United,Wigan Athletic,2.1017727598630698,0.9364811084589957,0.6418047912686766,0.20014738386434816,0.158034736606121,Manchester United,Manchester United,5.0,0.0,1.0,2.174486,0.885899
9,360645.0,2011-12-26,Stoke City,Aston Villa,1.6098121626375097,1.0194413526777737,0.5111767566740313,0.2489034522533527,0.23991869236911242,Stoke City,tie,0.0,0.0,1.0,1.2224549999999998,0.8603629999999999
10,360646.0,2011-12-26,Sunderland,Everton,1.3913601133523574,1.0516158801217521,0.4469319175739921,0.268861614233925,0.28420618520565716,Sunderland,tie,1.0,1.0,1.0,1.568173,1.200238
11,360648.0,2011-12-26,West Bromwich Albion,Manchester City,1.4352727465155348,2.342671372167789,0.22795566884442464,0.19437895260417343,0.5776302841322355,Manchester City,tie,0.0,0.0,1.0,1.4507709999999998,1.836277
12,360639.0,2011-12-27,Arsenal,Wolverhampton Wanderers,2.659830950940671,1.084805865898399,0.7084294791445033,0.1600591300391003,0.13140582445108115,Arsenal,tie,1.0,1.0,1.0,1.8851509999999998,1.096983
13,360644.0,2011-12-27,Norwich City,Tottenham Hotspur,1.6645804565088027,1.4178573516654032,0.43479578493239684,0.23736023493039432,0.32784216635277214,Norwich City,Tottenham Hotspur,0.0,2.0,1.0,1.587426,2.298587
14,360647.0,2011-12-27,Swansea City,Queens Park Rangers,1.4700267385690362,1.0230910678409761,0.474571222903672,0.26228662882410475,0.2631416815509037,Swansea City,tie,1.0,1.0,1.0,0.701044,1.1326040000000002
15,360652.0,2011-12-30,Liverpool,Newcastle United,1.7526121535437929,1.086098899888553,0.5298150843899593,0.23549921387852807,0.23468324716412162,Liverpool,Liverpool,3.0,1.0,1.0,2.339884,1.3344340000000001
16,360649.0,2011-12-31,Arsenal,Queens Park Rangers,2.5815259497483067,1.0528693533194262,0.7025055079579925,0.16443284734025468,0.13298011321217815,Arsenal,Arsenal,1.0,0.0,1.0,1.749079,0.935193
17,360650.0,2011-12-31,Bolton Wanderers,Wolverhampton Wanderers,1.3880491717947987,1.1502434178914083,0.42348169020147525,0.26536180553605576,0.3111562031917168,Bolton Wanderers,tie,1.0,1.0,1.0,0.960274,1.159881
18,360651.0,2011-12-31,Chelsea,Aston Villa,2.0374683435628986,0.9067483681187368,0.6359163263879085,0.20518854447531049,0.15888527441176437,Chelsea,Aston Villa,1.0,3.0,1.0,2.024857,0.950558
19,360653.0,2011-12-31,Manchester United,Blackburn Rovers,2.508512696528171,1.1203772021857372,0.6756933192010539,0.17316604202148456,0.15107712041105284,Manchester United,Blackburn Rovers,2.0,3.0,1.0,2.415498,0.97887
20,360654.0,2011-12-31,Norwich City,Fulham,1.9213467441003258,1.0194413526777737,0.5840964216887182,0.2194435955382149,0.19645423324864622,Norwich City,tie,1.0,1.0,1.0,1.551774,1.392924
21,360655.0,2011-12-31,Stoke City,Wigan Athletic,1.5605594396751725,0.9906085107559649,0.505782149745834,0.2539789832144955,0.2402380507155391,Stoke City,tie,2.0,2.0,1.0,1.000725,0.678802
22,360657.0,2011-12-31,Swansea City,Tottenham Hotspur,1.3106431691138554,1.377756117022664,0.355179871608999,0.25865621435293296,0.3861635235441621,Tottenham Hotspur,tie,1.0,1.0,1.0,0.735486,2.082981
23,360656.0,2012-01-01,Sunderland,Manchester City,1.3520082996367149,2.0787449583991524,0.2468218095026193,0.21111173759138535,0.5420544182547712,Manchester City,Sunderland,1.0,0.0,1.0,1.421109,1.727502
