,fixture_id,time.starting_at.date,Team.data.name,op_Team.data.name,gs_expected_score,gs_op_expected_score,gs_local_prob,gs_tie_prob,gs_visitor_prob,gs_expected_winner,winner,score,op_score,is_home,expected_goals,op_expected_goals
0,11.0,2016-10-06,Peru,Argentina,1.4666886312335397,0.9871823850350318,0.4823315363031696,0.26341552287932346,0.25425248779367415,Peru,tie,2.0,2.0,1.0,1.43849,1.66202
1,12.0,2016-10-06,Brasil,Bolivia,1.3028599194999209,0.7147987898015631,0.5064888618258081,0.2887892485285892,0.2047217492562001,Brasil,Brasil,5.0,0.0,1.0,2.31517,0.97588
2,13.0,2016-10-06,Ecuador,Chile,1.0307344615215108,1.1408162628984366,0.3256538773287565,0.29300401965318223,0.381342051734417,Chile,Ecuador,3.0,0.0,1.0,1.52464,1.45371
3,14.0,2016-10-06,Paraguay,Colombia,1.061999560075458,1.1072308131182775,0.3417062811711286,0.2936846812710875,0.36460899120785184,Colombia,Colombia,0.0,1.0,1.0,1.51136,2.03823
4,15.0,2016-10-06,Uruguay,Venezuela,1.1939875561207023,0.7588202102902312,0.46269145241013093,0.3026357963017545,0.2346726914733659,Uruguay,Uruguay,3.0,0.0,1.0,1.79853,1.78108
5,16.0,2016-10-11,Argentina,Paraguay,1.551461345674949,0.779048297793384,0.5569557521694131,0.2554479585865277,0.18759552527978302,Argentina,Paraguay,0.0,1.0,1.0,1.90419,1.51136
6,17.0,2016-10-11,Bolivia,Ecuador,1.0003898025085354,0.984725785777423,0.34916897086227716,0.3098916012001957,0.34093940924860733,Bolivia,tie,2.0,2.0,1.0,0.625,1.56558
7,18.0,2016-10-11,Venezuela,Brasil,1.0319630451192467,0.98825121529086,0.3581303344298405,0.3065378893628631,0.335331753493992,Venezuela,Brasil,0.0,2.0,1.0,1.11442,2.56858
8,19.0,2016-10-11,Chile,Peru,1.4218148189324824,1.077197459977934,0.44910316447705223,0.26522939929384315,0.2856670862898083,Chile,Chile,2.0,1.0,1.0,1.2156200000000001,1.4056
9,20.0,2016-10-11,Colombia,Uruguay,1.2661493068202438,0.9067483681187368,0.44677779305142556,0.287213204031962,0.2660088934417257,Colombia,tie,2.0,2.0,1.0,2.38545,1.84982
10,21.0,2016-11-10,Brasil,Argentina,1.2690309970433253,0.9310214041135035,0.44170438644516385,0.2858393740957747,0.27245612644223527,Brasil,Brasil,3.0,0.0,1.0,2.51303,1.6264100000000001
11,22.0,2016-11-10,Venezuela,Bolivia,1.1547027855368661,0.8510981670529094,0.42753367629600275,0.3030489889180126,0.2694172903602097,Venezuela,Venezuela,5.0,0.0,1.0,0.9060799999999999,0.625
12,23.0,2016-11-10,Colombia,Chile,1.4631984346305555,0.9860071141840414,0.48169623307083576,0.26379121363568747,0.25451211049293454,Colombia,tie,0.0,0.0,1.0,2.7187799999999998,1.4117
13,24.0,2016-11-10,Uruguay,Ecuador,1.1616009484745888,0.8541451946013875,0.42887319293257087,0.3020333775563583,0.2690933824202873,Uruguay,Uruguay,2.0,1.0,1.0,2.01648,1.3130600000000001
14,25.0,2016-11-10,Paraguay,Peru,1.0916091804168289,0.9871823850350318,0.37648204743040775,0.30083775537184415,0.32268016413321315,Paraguay,Peru,1.0,4.0,1.0,1.51136,1.5907799999999999
15,26.0,2016-11-15,Argentina,Colombia,1.2631363223902643,1.0442402558373582,0.41338944201715383,0.2809762820980749,0.3056341570517764,Argentina,Argentina,3.0,0.0,1.0,1.20974,2.0045
16,27.0,2016-11-15,Bolivia,Paraguay,1.1247207817867355,0.9013636462871895,0.406309959964273,0.30346428945943316,0.2902257143897825,Bolivia,Bolivia,1.0,0.0,1.0,0.41667,1.12247
17,28.0,2016-11-15,Peru,Brasil,1.3848972174793905,0.8790061089856384,0.4870245770551878,0.27461193887859786,0.23836322684713246,Peru,Brasil,0.0,2.0,1.0,1.8655099999999998,2.5972
18,29.0,2016-11-15,Chile,Uruguay,1.3799568162453362,0.8055527230323963,0.5043983097655826,0.27672143625057066,0.21888000707913072,Chile,Chile,3.0,1.0,1.0,1.2601799999999999,2.3498200000000002
19,30.0,2016-11-15,Ecuador,Venezuela,1.0942130177112825,0.9045906299275653,0.39624092582555165,0.3066872888349057,0.2970717568736541,Ecuador,Ecuador,3.0,0.0,1.0,1.47095,0.92801
20,31.0,2017-03-23,Argentina,Chile,1.3425258398945243,1.0454849376621258,0.43511635050322606,0.2736046621719279,0.29127878368653803,Argentina,Argentina,1.0,0.0,1.0,1.56481,1.24736
21,32.0,2017-03-23,Colombia,Bolivia,1.3766730104737774,0.7799768841521831,0.510143965119476,0.27757262289209617,0.2122831710405038,Colombia,Colombia,1.0,0.0,1.0,1.61988,0.51471
22,33.0,2017-03-23,Brasil,Uruguay,1.230204583888645,0.7597246857868755,0.47332633451859774,0.297613429546158,0.2290601557333238,Brasil,Brasil,4.0,1.0,1.0,2.66665,2.41595
23,34.0,2017-03-23,Paraguay,Ecuador,1.0307344615215108,0.9035136870894949,0.37679392950262064,0.3139104452219139,0.3092956080508072,Paraguay,Paraguay,2.0,1.0,1.0,0.78914,1.38762
24,35.0,2017-03-23,Venezuela,Peru,1.1954107291901128,1.077197459977934,0.3867918461400203,0.28507600160671737,0.3281320711134628,Venezuela,tie,2.0,2.0,1.0,0.80897,1.8655099999999998
25,36.0,2017-03-28,Bolivia,Argentina,0.9732544845054879,1.0171264256303958,0.3338363797383347,0.3093047181228332,0.35685888257406295,Argentina,Bolivia,2.0,0.0,1.0,0.51471,1.38624
