,matchid,teamid,op_teamid,competitionid,seasonid,is_home,team_name,op_team_name,timestamp,goals,op_goals,points,avg_points,avg_goals,op_avg_goals,pass_70,pass_80,op_pass_70,op_pass_80,expected_goals,op_expected_goals,passes,bad_passes,pass_ratio,corners,fouls,cards,shots,op_passes,op_bad_passes,op_corners,op_fouls,op_cards,op_shots,goals_op_ratio,shots_op_ratio,pass_op_ratio
30,741510,2077,1207,98,2014,0,Toronto FC,Chicago Fire,  2014-07-03 01:30:00.000000,1,1,1,1.833333,1.833333,1.333333,0.502893,0.209295,0.541321,0.163587,1.005347,0.896897,3.237738,1.15,6047    0.726417,0.043972,0.149309,2.666667,0.133707,3.954442,1.30196,0.038671,0.168626,1.666667,0.124823,1.166667,1.140868,0.979352
31,741510,1207,2077,98,2014,1,Chicago Fire,Toronto FC,  2014-07-03 01:30:00.000000,1,1,1,1.333333,1.666667,1.833333,0.408253,0.133738,0.480245,0.174483,0.810239,0.964904,2.905469,1.14,3325    0.708108,0.043885,0.122842,1.833333,0.119535,4.259407,1.240451,0.065349,0.163237,2,0.107253,0.819444,1.285648,0.91559
33,731821,497,632,4,2013,0,Switzerland,Argentina,  2014-07-01 17:00:00.000000,0,1,0,1.666667,1.333333,1.166667,0.453431,0.169624,0.64605,0.272712,1.290786,1.451859,3.512752,1.03,1953    0.742200,0.044594,0.167776,1.666667,0.146271,4.132385,1.053009,0.064162,0.166071,2.166667,0.169408,1.066667,1.164385,0.952704
34,731821,632,497,4,2013,1,Argentina,Switzerland,  2014-07-01 17:00:00.000000,1,0,3,2.5,1.833333,1.333333,0.697555,0.23253,0.421237,0.126472,1.671601,1.045808,5.503643,0.95,8873    0.844575,0.073717,0.178503,0.666667,0.189222,2.871541,0.907255,0.046755,0.110343,1.333333,0.142601,1.583333,1.631789,1.162384
35,731820,1215,357,4,2013,0,Algeria,Germany,  2014-06-30 21:00:00.000000,1,2,0,0.833333,1,1.166667,0.414207,0.176104,0.55199,0.15845,0.908731,1.417512,3.282029,1.11,2388    0.742551,0.040875,0.146038,2.166667,0.120872,4.401586,1.136849,0.062381,0.177896,1.666667,0.137135,0.583333,1.023393,0.942959
36,731820,357,1215,4,2013,1,Germany,Algeria,  2014-06-30 21:00:00.000000,2,1,3,2.166667,2.333333,0.833333,0.752198,0.212542,0.606098,0.203699,1.77716,0.958349,5.25799,1.09,5486    0.817335,0.064874,0.151441,0.833333,0.144464,4.25679,1.002584,0.052347,0.111768,1.333333,0.156871,1.916667,1.21572,1.021531
37,731819,1216,368,4,2013,0,Nigeria,France,  2014-06-30 17:00:00.000000,0,2,0,0.833333,1,1.333333,0.444458,0.118058,0.662841,0.207362,0.684687,1.889236,3.219459,1.04,0196    0.749190,0.041361,0.111439,1.5,0.134383,4.06593,1.032196,0.082116,0.152541,1.166667,0.196591,0.527778,0.739275,0.967262
38,731819,368,1216,4,2013,1,France,Nigeria,  2014-06-30 17:00:00.000000,2,0,3,1.333333,1.5,1,0.690783,0.237937,0.378435,0.134392,1.72764,0.902119,4.403457,1.04,1322    0.797735,0.057351,0.16683,1.833333,0.186233,3.324555,1.016114,0.021506,0.156248,2.333333,0.13081,1,1.910672,1.064669
39,741509,1897,1616,98,2014,0,Houston Dynamo,Montreal Impact,  2014-06-30 00:30:00.000000,0,3,0,0.5,0.5,2.5,0.540497,0.235529,0.531705,0.191737,0.842481,1.485522,3.30574,1.25,5625    0.719329,0.053424,0.101719,1.833333,0.119376,3.973073,1.152909,0.048258,0.131787,1.666667,0.157316,0.233333,0.808703,0.944547
40,741509,1616,1897,98,2014,1,Montreal Impact,Houston Dynamo,  2014-06-30 00:30:00.000000,3,0,3,0.833333,1,2,0.350459,0.125126,0.663202,0.20044,1.201671,1.20885,3.295429,1.09,6028    0.740656,0.035748,0.126882,1.833333,0.112466,4.874474,1.052746,0.057254,0.135746,1.666667,0.143164,0.625,0.843811,0.923659
41,731818,517,838,4,2013,0,Greece,Costa Rica,  2014-06-29 21:00:00.000000,1,1,1,1.166667,0.666667,1.5,0.381667,0.134445,0.703432,0.240538,1.131532,1.372443,2.857088,0.96,1262    0.728899,0.06821,0.181005,1.833333,0.130511,4.559814,0.959816,0.063003,0.14888,1.333333,0.167231,0.666667,0.952879,0.909192
42,731818,838,517,4,2013,1,Costa Rica,Greece,  2014-06-29 21:00:00.000000,1,1,1,1.166667,1.166667,1.666667,0.322551,0.108618,0.534395,0.194222,0.775861,1.24782,3.484559,1.04,1065    0.764668,0.040916,0.169153,1.666667,0.110277,4.750432,1.056307,0.062478,0.19245,2.5,0.151685,0.833333,0.829907,0.94262
43,741506,1903,454,98,2014,0,FC Dallas,Columbus Crew,  2014-06-29 19:00:00.000000,0,0,1,1,1.333333,1.5,0.443253,0.16551,0.692627,0.216005,1.384693,0.979452,3.303715,1.09,0398    0.738739,0.051091,0.12265,2.333333,0.135175,4.125275,1.06308,0.04372,0.133252,1.833333,0.156026,0.75,1.041288,0.943922
44,741506,454,1903,98,2014,1,Columbus Crew,FC Dallas,  2014-06-29 19:00:00.000000,0,0,1,1,1.333333,1.333333,0.529283,0.194659,0.486784,0.196002,0.965569,1.000484,4.372682,1.14,9662    0.786163,0.058495,0.1359,2.166667,0.130934,3.359363,1.119183,0.046066,0.15173,2,0.14867,0.777778,1.033336,1.052101
45,731817,659,366,4,2013,0,Mexico,Netherlands,  2014-06-29 17:00:00.000000,1,2,0,1.666667,1.166667,0.833333,0.50764,0.141456,0.441715,0.170423,0.797203,1.208786,3.914817,1.04,6734    0.782369,0.046561,0.159861,2,0.127658,3.329323,1.077414,0.057372,0.19983,1.333333,0.138314,1.055556,0.941728,1.052657
46,731817,366,659,4,2013,1,Netherlands,Mexico,  2014-06-29 17:00:00.000000,2,1,3,2.5,2.5,1.166667,0.324303,0.117375,0.452094,0.152097,1.759853,0.77559,3.145297,1.06,1158    0.737389,0.033191,0.15291,3.5,0.135384,4.353583,1.100129,0.057448,0.222534,2,0.128799,2,1.135791,0.940537
47,741503,1230,1131,98,2014,0,LA Galaxy,San Jose Earthquakes,  2014-06-29 03:30:00.000000,1,0,3,1.5,1.5,1,0.680189,0.242527,0.497482,0.187102,1.35157,0.803137,4.285484,1.17,4442    0.779395,0.046237,0.099701,1,0.172761,3.211832,1.136134,0.056953,0.089175,0.833333,0.110643,1.5,1.727525,1.067641
48,741503,1131,1230,98,2014,1,San Jose Earthquakes,LA Galaxy,  2014-06-29 03:30:00.000000,0,1,0,1.666667,1.166667,0.666667,0.402841,0.128012,0.566551,0.244354,1.099991,1.157365,3.779891,1.18,1963    0.753022,0.035453,0.125741,1.833333,0.122632,3.759977,1.270965,0.06343,0.138049,1.333333,0.166538,1.166667,0.769841,1.014022
49,741508,1899,2079,98,2014,0,Real Salt Lake,Chivas USA,  2014-06-29 03:30:00.000000,0,1,0,1.333333,1.5,1.833333,0.574706,0.16703,0.541776,0.218042,0.937849,1.459721,3.940103,1.15,1325    0.768563,0.036911,0.118033,2.166667,0.112487,3.374534,1.041214,0.063656,0.158531,1.5,0.148195,0.972222,0.853808,1.030651
50,741508,2079,1899,98,2014,1,Chivas USA,Real Salt Lake,  2014-06-29 03:30:00.000000,1,0,3,0.833333,1,2,0.38301,0.1426,0.503044,0.158269,0.511058,1.482641,2.742322,1.13,6796    0.701181,0.033843,0.114095,2.833333,0.072968,5.057793,1.090219,0.049764,0.138977,0.833333,0.162009,0.875,0.495838,0.853927
51,741507,1708,436,98,2014,0,Vancouver Whitecaps,Colorado Rapids,  2014-06-29 02:00:00.000000,0,2,0,2,2.166667,1.666667,0.521844,0.201633,0.61166,0.264371,1.446081,1.489781,3.70618,1.02,6752    0.776395,0.054935,0.141952,2.333333,0.180708,3.869788,1.271142,0.058608,0.159555,2,0.152549,0.972222,1.583639,1.039845
52,741507,436,1708,98,2014,1,Colorado Rapids,Vancouver Whitecaps,  2014-06-29 02:00:00.000000,2,0,3,1.166667,1.833333,1.5,0.505394,0.202642,0.33481,0.087115,1.379903,0.551804,4.300644,1.18,2360    0.778959,0.083465,0.137771,1,0.152597,2.983622,1.207384,0.019622,0.098961,1.833333,0.077716,1.416667,2.168803,1.12804
53,741505,5513,928,98,2014,0,Philadelphia Union,New England Revolution,  2014-06-29 00:30:00.000000,3,1,3,1.166667,2,2.333333,0.508057,0.186504,0.474265,0.169212,1.561974,1.512565,3.886187,1.18,4678    0.756129,0.074701,0.124577,1.833333,0.175905,3.439012,1.158292,0.028447,0.136538,2,0.120995,1.141667,2.002778,1.02508
54,741505,928,5513,98,2014,1,New England Revolution,Philadelphia Union,  2014-06-29 00:30:00.000000,1,3,0,2,2.333333,1.5,0.792748,0.286212,0.555174,0.210125,1.609326,1.308012,3.630485,1.14,5017    0.749875,0.056858,0.143958,1.333333,0.176179,3.917266,1.144419,0.050108,0.140526,2.666667,0.160528,1.777778,1.290873,0.977698
55,741504,3500,1326,98,2014,0,Seattle Sounders FC,D.C. United,  2014-06-29 00:00:00.000000,1,0,3,2.166667,2,1.666667,0.632951,0.237022,0.490606,0.180127,1.515329,1.099797,4.129313,1.17,0667    0.775714,0.058604,0.162917,2,0.151379,3.915738,1.152093,0.058172,0.116988,2,0.128991,1.583333,1.485795,1.016016
56,741504,1326,3500,98,2014,1,D.C. United,Seattle Sounders FC,  2014-06-29 00:00:00.000000,0,1,0,1.833333,1.5,0.833333,0.50571,0.179799,0.535249,0.197138,0.877907,1.043301,3.664364,1.22,5324    0.743650,0.053027,0.147996,2.833333,0.12879,3.56739,1.264351,0.054762,0.139261,2,0.126921,1.083333,1.176957,1.017531
58,731815,831,614,4,2013,0,Chile,Brazil,  2014-06-28 17:00:00.000000,1,1,1,1.5,1.166667,1.333333,0.567336,0.214864,0.496724,0.174566,0.779153,0.966461,4.181525,1.16,2836    0.770265,0.044883,0.194995,2.833333,0.121819,3.774401,1.11092,0.044753,0.173857,1.833333,0.128668,1.083333,1.272191,1.078449
59,731815,614,831,4,2013,1,Brazil,Chile,  2014-06-28 17:00:00.000000,1,1,1,1.833333,1.833333,0.666667,0.533237,0.222914,0.397575,0.1415,1.683269,0.616026,4.146276,0.97,3863    0.802015,0.073179,0.17885,1.833333,0.176658,3.083113,0.977773,0.046448,0.157095,3,0.13576,1.75,1.307554,1.061381
60,741502,421,1581,98,2014,0,Sporting Kansas City,Portland Timbers,  2014-06-28 04:00:00.000000,1,0,3,0.833333,1.166667,1.333333,0.593732,0.159448,0.381707,0.138377,0.956666,0.998319,4.199013,1.08,5508    0.784387,0.033297,0.194225,2.166667,0.147149,2.953381,1.134704,0.049013,0.134722,3.333333,0.120779,0.833333,1.470304,1.109091
61,741502,1581,421,98,2014,1,Portland Timbers,Sporting Kansas City,  2014-06-28 04:00:00.000000,0,1,0,1.833333,2.5,1.833333,0.673608,0.245795,0.624258,0.207073,1.807294,1.273666,3.930787,1.03,7615    0.789233,0.052896,0.173082,1.666667,0.162382,3.370192,1.024341,0.063461,0.138012,4,0.152082,1.625,1.127869,1.045356
62,741501,2077,399,98,2014,0,Toronto FC,New York Red Bulls,  2014-06-28 01:00:00.000000,2,2,1,1.666667,1.666667,1.333333,0.445614,0.177193,0.594737,0.187719,0.85663,0.828992,3.080702,1.15,2632    0.717587,0.040351,0.15614,2.833333,0.117544,3.968421,1.326316,0.059649,0.166667,1.666667,0.129825,1.083333,1.010616,0.971688
63,741501,399,2077,98,2014,1,New York Red Bulls,Toronto FC,  2014-06-28 01:00:00.000000,2,2,1,1.166667,1.5,1.666667,0.514473,0.198033,0.490506,0.200027,0.959283,0.927128,3.824979,1.17,5400    0.764462,0.058195,0.150381,2.5,0.116673,3.312682,0.995965,0.045989,0.141534,2,0.139627,0.883333,0.965695,1.012334
65,731811,357,596,4,2013,0,Germany,USA,  2014-06-26 17:00:00.000000,1,0,3,2.166667,2.833333,1,0.671332,0.199167,0.633954,0.207537,1.938378,1.38573,4.593404,1.14,2087    0.794028,0.066802,0.135715,0.833333,0.152212,4.379121,1.083736,0.059633,0.10832,1.166667,0.182311,2.416667,0.837223,1.002344
66,731811,596,357,4,2013,1,USA,Germany,  2014-06-26 17:00:00.000000,0,1,0,1.5,1.5,1.333333,0.437007,0.149146,0.65869,0.225213,1.434019,1.000251,3.374605,1.16,0368    0.738102,0.044029,0.155356,1.666667,0.150978,3.925245,1.164457,0.053262,0.13007,2.5,0.175721,1.083333,0.968639,0.964492
67,731812,1219,359,4,2013,0,Ghana,Portugal,  2014-06-26 17:00:00.000000,1,2,0,1,1.166667,1.333333,0.576035,0.231919,0.491123,0.173596,0.642919,1.115242,3.780199,1.19,4195    0.757057,0.051662,0.127204,2,0.20404,3.886967,1.205865,0.054888,0.163187,1.666667,0.131924,0.916667,1.71131,1.023009
68,731812,359,1219,4,2013,1,Portugal,Ghana,  2014-06-26 17:00:00.000000,2,1,3,1,1.5,1.166667,0.463223,0.152061,0.628935,0.213029,1.200667,1.174366,3.982295,0.98,6424    0.793665,0.046627,0.126539,1.833333,0.166423,4.865963,0.937754,0.05345,0.153982,1.5,0.157228,1.333333,1.074196,0.963848
69,741500,1616,1708,98,2014,0,Montreal Impact,Vancouver Whitecaps,  2014-06-26 03:00:00.000000,0,0,1,1.166667,1.166667,2,0.334883,0.107472,0.716031,0.222193,1.169781,1.203903,3.210971,1.12,3138    0.728819,0.030448,0.118245,1.833333,0.101962,4.940725,1.133544,0.062745,0.130694,1.666667,0.157673,0.791667,0.671698,0.917794
70,741500,1708,1616,98,2014,1,Vancouver Whitecaps,Montreal Impact,  2014-06-26 03:00:00.000000,0,0,1,2,2.5,2,0.543811,0.224198,0.663079,0.282102,1.533828,1.533622,3.648341,1.05,6427    0.769090,0.063595,0.129354,2.333333,0.192821,4.071916,1.249865,0.055062,0.152463,1.666667,0.154322,1.138889,1.656725,1.011287
72,731808,368,830,4,2013,0,France,Ecuador,  2014-06-25 21:00:00.000000,0,0,1,1.333333,1.666667,1.166667,0.611968,0.206794,0.410979,0.144402,1.460384,0.945297,4.13361,1,5746    0.793976,0.054348,0.159537,2.5,0.173192,3.562315,0.999727,0.026453,0.177867,2.166667,0.125662,1.166667,1.869005,1.027965
73,731808,830,368,4,2013,1,Ecuador,France,  2014-06-25 21:00:00.000000,0,0,1,1.5,1.333333,1.166667,0.500149,0.226822,0.528142,0.1935,1.051679,1.281943,3.718054,1.07,8204    0.767667,0.060743,0.155598,2.166667,0.126939,4.221952,1.128382,0.060818,0.195101,1.666667,0.168142,1.25,0.785304,0.978709
