matchid  teamid     passes  bad_passes  pass_ratio   corners     fouls  cards  goals     shots  is_home                team_name   pass_80   pass_70  expected_goals  on_target  length  op_teamid  op_passes  op_bad_passes  op_pass_ratio  op_corners  op_fouls  op_cards  op_goals  op_shots             op_team_name  op_pass_80  op_pass_70  op_expected_goals  op_on_target  competitionid  seasonid  shots_op_ratio  goals_op_ratio  pass_op_ratio  points      timestamp
18    741515     928   2.446809    1.074468    0.692771  0.053191  0.138298      2      1  0.095745        0   New England Revolution  0.202128  0.542553        0.432787   0.010638      94       1899   4.255319       1.095745       0.793651    0.063830  0.148936         2         2  0.148936           Real Salt Lake    0.255319    0.734043           0.741987      0.031915             98      2014        0.642857        0.500000       0.872892       0  1404536475677
19    741515    1899   4.255319    1.095745    0.793651  0.063830  0.148936      2      2  0.148936        1           Real Salt Lake  0.255319  0.734043        0.741987   0.031915      94        928   2.446809       1.074468       0.692771    0.053191  0.138298         2         1  0.095745   New England Revolution    0.202128    0.542553           0.432787      0.010638             98      2014        1.555556        2.000000       1.145618       3  1404536471913
20    741514     454   3.863158    0.810526    0.824719  0.052632  0.105263      0      1  0.210526        0            Columbus Crew  0.221053  0.642105        2.607055   0.084211      95        436   3.947368       0.947368       0.804721    0.052632  0.063158         3         1  0.094737          Colorado Rapids    0.210526    0.484211           0.519825      0.021053             98      2014        2.222222        1.000000       1.024851       1  1404534827790
21    741514     436   3.947368    0.947368    0.804721  0.052632  0.063158      3      1  0.094737        1          Colorado Rapids  0.210526  0.484211        0.519825   0.021053      95        454   3.863158       0.810526       0.824719    0.052632  0.105263         0         1  0.210526            Columbus Crew    0.221053    0.642105           2.607055      0.084211             98      2014        0.450000        1.000000       0.975752       1  1404534827220
22    741512     399   2.556701    1.082474    0.700565  0.061856  0.154639      1      2  0.123711        0       New York Red Bulls  0.154639  0.371134        1.818827   0.061856      97       1897   3.721649       1.237113       0.748963    0.061856  0.134021         1         2  0.144330           Houston Dynamo    0.360825    0.886598           0.736349      0.020619             98      2014        0.857143        1.000000       0.935380       1  1404533030671
23    741513    5513   3.400000    1.136842    0.747685  0.042105  0.052632      3      1  0.126316        0       Philadelphia Union  0.294737  0.694737        0.998733   0.042105      95       1903   4.726316       1.000000       0.823853    0.063158  0.157895         0         2  0.105263                FC Dallas    0.147368    0.557895           0.532757      0.021053             98      2014        1.200000        0.500000       0.907547       0  1404532900990
24    741513    1903   4.726316    1.000000    0.823853  0.063158  0.157895      0      2  0.105263        1                FC Dallas  0.147368  0.557895        0.532757   0.021053      95       5513   3.400000       1.136842       0.747685    0.042105  0.052632         3         1  0.126316       Philadelphia Union    0.294737    0.694737           0.998733      0.042105             98      2014        0.833333        2.000000       1.101872       3  1404532898149
25    741512    1897   3.721649    1.237113    0.748963  0.061856  0.134021      1      2  0.144330        1           Houston Dynamo  0.360825  0.886598        0.736349   0.020619      97        399   2.556701       1.082474       0.700565    0.061856  0.154639         1         2  0.123711       New York Red Bulls    0.154639    0.371134           1.818827      0.061856             98      2014        1.166667        1.000000       1.069084       1  1404532094785
26    731823     832   2.478723    1.042553    0.701807  0.063830  0.329787      2      1  0.117021        0                 Colombia  0.202128  0.468085        0.098956   0.010638      94        614   2.631579       0.789474       0.766871    0.042105  0.242105         2         2  0.136842                   Brazil    0.115789    0.357895           1.246698      0.042105              4      2013        0.855155        0.500000       0.915157       0  1404514629687
27    731823     614   2.631579    0.789474    0.766871  0.042105  0.242105      2      2  0.136842        1                   Brazil  0.115789  0.357895        1.246698   0.042105      95        832   2.478723       1.042553       0.701807    0.063830  0.329787         2         1  0.117021                 Colombia    0.202128    0.468085           0.098956      0.010638              4      2013        1.169378        2.000000       1.092709       3  1404514623552
28    731824     368   3.627660    1.170213    0.754425  0.053191  0.191489      0      0  0.138298        1                   France  0.234043  0.382979        1.199728   0.053191      94        357   3.670213       1.223404       0.748373    0.031915  0.159574         2         1  0.095745                  Germany    0.095745    0.489362           0.937786      0.031915              4      2013        1.444444        0.000000       1.008086       0  1404500191722
29    731824     357   3.670213    1.223404    0.748373  0.031915  0.159574      2      1  0.095745        0                  Germany  0.095745  0.489362        0.937786   0.031915      94        368   3.627660       1.170213       0.754425    0.053191  0.191489         0         0  0.138298                   France    0.234043    0.382979           1.199728      0.053191              4      2013        0.692308        1.000000       0.991978       3  1404500184917
30    741511    1131   4.600000    1.315789    0.776199  0.063158  0.200000      2      0  0.168421        1     San Jose Earthquakes  0.231579  0.515789        0.976934   0.031579      95       2079   2.189474       1.336842       0.619048    0.000000  0.115789         4         1  0.105263               Chivas USA    0.115789    0.284211           0.988030      0.042105             98      2014        1.600000        0.000000       1.253860       0  1404365842323
31    741511    2079   2.189474    1.336842    0.619048  0.000000  0.115789      4      1  0.105263        0               Chivas USA  0.115789  0.284211        0.988030   0.042105      95       1131   4.600000       1.315789       0.776199    0.063158  0.200000         2         0  0.168421     San Jose Earthquakes    0.231579    0.515789           0.976934      0.031579             98      2014        0.625000        1.000000       0.797537       3  1404365833429
32    741510    1207   4.935484    1.182796    0.805263  0.053763  0.107527      2      1  0.215054        1             Chicago Fire  0.268817  0.634409        1.402599   0.053763      93       2077   2.559140       1.182796       0.681948    0.064516  0.129032         2         1  0.075269               Toronto FC    0.150538    0.290323           0.683607      0.021505             98      2014        2.857143        1.000000       1.180827       1  1404358346483
33    741510    2077   2.559140    1.182796    0.681948  0.064516  0.129032      2      1  0.075269        0               Toronto FC  0.150538  0.290323        0.683607   0.021505      93       1207   4.935484       1.182796       0.805263    0.053763  0.107527         2         1  0.215054             Chicago Fire    0.268817    0.634409           1.402599      0.053763             98      2014        0.350000        1.000000       0.846864       1  1404358346315
