     matchid  teamid  op_teamid  competitionid  seasonid  is_home                team_name             op_team_name                   timestamp  goals  op_goals  points  avg_points  avg_goals  op_avg_goals   pass_70   pass_80  op_pass_70  op_pass_80  expected_goals  op_expected_goals    passes  bad_passes  pass_ratio   corners     fouls     cards     shots  op_passes  op_bad_passes  op_corners  op_fouls  op_cards  op_shots  goals_op_ratio  shots_op_ratio  pass_op_ratio
10    741517    1326       2077             98      2014        0              D.C. United               Toronto FC  2014-07-06 00:00:00.000000      2         1       3    1.666667   1.333333      0.833333  0.521667  0.178026    0.568937    0.198911        0.771262           0.799924  3.962236    1.179224    0.757629  0.054800  0.142677  2.500000  0.130563   3.492922       1.244847    0.065401  0.141034  2.000000  0.110964        0.916667        1.510290       1.039700
11    741517    2077       1326             98      2014        1               Toronto FC              D.C. United  2014-07-06 00:00:00.000000      1         2       0    2.000000   1.833333      1.166667  0.414438  0.185261    0.538284    0.183829        0.956765           1.007338  2.825665    1.146162    0.706630  0.047707  0.146253  2.666667  0.119936   4.271759       1.274531    0.045877  0.154969  1.666667  0.136104        1.250000        1.020630       0.927278
12    731825     838        366              4      2013        0               Costa Rica              Netherlands  2014-07-05 21:00:00.000000      0         0       1    1.333333   1.000000      1.166667  0.339940  0.112020    0.466225    0.178065        0.691759           1.297244  3.452413    1.031474    0.764229  0.039446  0.170273  2.500000  0.118734   4.470401       1.022607    0.064256  0.196006  3.000000  0.142039        0.916667        0.877315       0.945851
13    731825     366        838              4      2013        1              Netherlands               Costa Rica  2014-07-05 21:00:00.000000      0         0       1    2.500000   2.500000      1.166667  0.355721  0.116815    0.434117    0.133615        1.788591           0.734653  3.379336    1.064854    0.747173  0.043384  0.139694  2.833333  0.136448   4.332862       1.101865    0.046583  0.202373  2.166667  0.119278        2.000000        1.219124       0.955363
14    731826     632        360              4      2013        1                Argentina                  Belgium  2014-07-05 17:00:00.000000      1         0       3    2.500000   1.666667      1.333333  0.634909  0.214472    0.447885    0.144295        1.540501           1.238391  4.926855    0.992008    0.828583  0.073074  0.190307  1.000000  0.188345   3.006709       0.945766    0.051664  0.120044  1.500000  0.150081        1.416667        1.430202       1.129224
15    741516    1581       1230             98      2014        0         Portland Timbers                LA Galaxy  2014-07-05 04:00:00.000000      2         2       1    1.666667   2.000000      1.500000  0.711197  0.270057    0.545740    0.201511        1.615477           1.155904  4.073135    1.111243    0.784765  0.056311  0.181518  1.666667  0.153311   2.922021       1.096346    0.061595  0.136052  4.000000  0.141276        1.458333        1.153795       1.112744
16    741516    1230       1581             98      2014        1                LA Galaxy         Portland Timbers  2014-07-05 04:00:00.000000      2         2       1    1.833333   1.500000      0.833333  0.657401  0.230888    0.520534    0.180764        1.298591           0.707833  4.285767    1.168329    0.780329  0.037578  0.094853  1.166667  0.166385   3.406418       1.175673    0.050162  0.089552  0.666667  0.116397        1.500000        1.595474       1.062743
17    741515     928       1899             98      2014        0   New England Revolution           Real Salt Lake  2014-07-05 03:00:00.000000      1         2       0    1.500000   2.166667      1.833333  0.824327  0.305510    0.511315    0.189072        1.859344           1.373966  3.907678    1.139754    0.764721  0.070893  0.133431  1.333333  0.190214   3.599722       1.163718    0.046600  0.133509  2.500000  0.155265        1.500000        1.440873       1.020769
18    741515    1899        928             98      2014        1           Real Salt Lake   New England Revolution  2014-07-05 03:00:00.000000      2         1       3    0.833333   0.666667      1.666667  0.567292  0.162842    0.537607    0.220570        0.606203           1.586477  3.802846    1.165549    0.762272  0.043854  0.124674  2.333333  0.099603   3.340182       1.035875    0.054544  0.156399  1.500000  0.156439        0.555556        0.742279       1.023796
19    741514     454        436             98      2014        0            Columbus Crew          Colorado Rapids  2014-07-05 02:30:00.000000      1         1       1    1.166667   1.333333      1.166667  0.552580  0.200035    0.497536    0.185249        0.930553           0.991964  4.564438    1.108443    0.797396  0.051327  0.132316  1.833333  0.127350   3.466890       1.104846    0.040690  0.135601  1.500000  0.121789        0.777778        1.180522       1.053799
