matchid  teamid  op_teamid  competitionid  seasonid  is_home      team_name   op_team_name                   timestamp  avg_points  avg_goals  op_avg_goals   pass_70   pass_80  op_pass_70  op_pass_80  expected_goals  op_expected_goals    passes  bad_passes  pass_ratio   corners     fouls     cards     shots  op_passes  op_bad_passes  op_corners  op_fouls  op_cards  op_shots  goals_op_ratio  shots_op_ratio  pass_op_ratio
104  318292     659        632              4      2009        0         Mexico      Argentina  2010-06-27 19:30:00.000000    0.833333   0.833333      1.000000  0.602601  0.140235    0.379262    0.118040        0.909714           0.743109  4.563749    1.056313    0.806028  0.048183  0.220565  3.000000  0.142105   3.495483       1.052162    0.056857  0.207835  2.666667  0.124447        0.666667        1.216224       1.072233
105  318292     632        659              4      2009        1      Argentina         Mexico  2010-06-27 19:30:00.000000    2.333333   1.666667      0.500000  0.674818  0.213295    0.467172    0.133473        1.773292           0.361224  4.872375    0.969352    0.822566  0.081102  0.188569  2.333333  0.169795   2.994796       0.993757    0.037486  0.164921  2.333333  0.129627        1.666667        1.457488       1.123420
106  318291     114        357              4      2009        0        England        Germany  2010-06-27 15:00:00.000000    1.666667   0.833333      0.500000  0.627635  0.246653    0.519341    0.205706        1.191109           0.859881  4.042872    1.229942    0.764212  0.079532  0.170773  2.000000  0.163901   3.328215       1.185677    0.055513  0.153907  2.333333  0.152860        0.666667        1.179547       1.062473
107  318291     357        114              4      2009        1        Germany        England  2010-06-27 15:00:00.000000    1.666667   1.500000      0.833333  0.558081  0.200397    0.405105    0.151329        0.856551           0.984666  4.372959    1.042074    0.797895  0.046813  0.168276  2.500000  0.156171   3.991211       0.991070    0.058988  0.147730  3.000000  0.142386        1.500000        1.153197       1.000913
108  318290    1219        596              4      2009        0          Ghana            USA  2010-06-26 19:30:00.000000    1.666667   1.000000      1.000000  0.512953  0.196819    0.406224    0.171756        0.951833           1.349279  3.642583    1.071506    0.765874  0.048275  0.146104  3.666667  0.198459   3.833579       1.203182    0.048278  0.226186  2.000000  0.141263        1.000000        1.495094       1.017785
109  318290     596       1219              4      2009        1            USA          Ghana  2010-06-26 19:30:00.000000    1.000000   1.000000      1.500000  0.468620  0.144704    0.503158    0.166073        1.063223           0.984977  3.315030    1.309545    0.712023  0.040937  0.201220  2.000000  0.137319   3.521600       1.176543    0.053617  0.173190  3.666667  0.137243        0.750000        1.061457       0.956720
113  312136     614        359              4      2009        0         Brazil       Portugal  2010-06-25 15:00:00.000000    2.500000   2.333333      0.666667  0.773705  0.238916    0.429582    0.145531        1.907886           0.802965  5.084995    0.913646    0.841167  0.068512  0.194429  2.166667  0.187794   3.524642       0.883259    0.041355  0.145512  2.500000  0.143876        2.333333        1.439935       1.066319
114  312136     359        614              4      2009        1       Portugal         Brazil  2010-06-25 15:00:00.000000    1.333333   1.500000      0.666667  0.589804  0.205257    0.494126    0.187804        1.476152           0.608205  4.210900    1.067282    0.785331  0.053773  0.139170  3.000000  0.183601   3.425475       1.054404    0.038227  0.147800  2.833333  0.145596        1.388889        1.429899       1.033638
117  312129     357       1219              4      2009        0        Germany          Ghana  2010-06-23 19:30:00.000000    1.666667   1.666667      0.833333  0.637791  0.229382    0.397859    0.138648        1.046722           0.965732  4.387452    0.993161    0.804362  0.041378  0.184580  2.500000  0.185157   3.925994       0.978388    0.058988  0.167657  3.500000  0.122459        1.666667        1.849276       1.012265
118  312129    1219        357              4      2009        1          Ghana        Germany  2010-06-23 19:30:00.000000    1.666667   1.000000      1.166667  0.535510  0.194657    0.360116    0.156894        1.037866           1.671829  3.842482    1.044313    0.778431  0.048197  0.151383  3.833333  0.201712   3.524556       1.181151    0.057102  0.243893  2.333333  0.146367        1.000000        1.478987       1.045292
135  311200     368        119              4         6        0         France          Italy  2006-07-09 19:00:00.000000    2.333333   1.333333      0.333333  0.541418  0.152433    0.381373    0.116204        1.178582           0.478214  3.856662    0.965835    0.791111  0.061050  0.213347  2.166667  0.140060   4.056648       1.047889    0.046462  0.182801  2.666667  0.098533        1.333333        1.685509       1.003664
136  311200     119        368              4         6        1          Italy         France  2006-07-09 19:00:00.000000    2.666667   1.833333      0.166667  0.425811  0.156951    0.543855    0.162282        1.614423           0.774533  3.838511    1.041003    0.780948  0.065191  0.245413  2.000000  0.158174   4.042218       1.160441    0.036160  0.150565  2.500000  0.149330        1.833333        1.101310       1.016266
137  311199     359        357              4         6        0       Portugal        Germany  2006-07-08 20:00:00.000000    2.166667   1.000000      0.333333  0.567943  0.231708    0.476830    0.141589        1.118808           0.906213  4.260576    1.054173    0.788709  0.065416  0.188039  3.500000  0.185236   3.390679       1.067059    0.036299  0.187303  3.833333  0.149789        1.000000        1.509793       1.052449
138  311199     357        359              4         6        1        Germany       Portugal  2006-07-08 20:00:00.000000    2.166667   1.833333      0.833333  0.710511  0.267236    0.312833    0.115379        1.857098           0.621544  4.412446    1.070513    0.797860  0.052224  0.197094  1.666667  0.219311   3.469330       1.044312    0.053452  0.182155  2.666667  0.095332        1.500000        3.000033       1.064142
