matchid  teamid  op_teamid  competitionid  seasonid  is_home      team_name   op_team_name                   timestamp  avg_points  avg_goals  op_avg_goals   pass_70   pass_80  op_pass_70  op_pass_80  expected_goals  op_expected_goals    passes  bad_passes  pass_ratio   corners     fouls     cards     shots  op_passes  op_bad_passes  op_corners  op_fouls  op_cards  op_shots  goals_op_ratio  shots_op_ratio  pass_op_ratio
21   731818     517        838              4      2013        0         Greece     Costa Rica  2014-06-29 21:00:00.000000    1.166667   0.666667      1.500000  0.381667  0.134445    0.703432    0.240538        1.131532           1.372443  2.857088    0.961262    0.728899  0.068210  0.181005  1.833333  0.130511   4.559814       0.959816    0.063003  0.148880  1.333333  0.167231        0.666667        0.952879       0.909192
22   731818     838        517              4      2013        1     Costa Rica         Greece  2014-06-29 21:00:00.000000    1.166667   1.166667      1.666667  0.322551  0.108618    0.534395    0.194222        0.775861           1.247820  3.484559    1.041065    0.764668  0.040916  0.169153  1.666667  0.110277   4.750432       1.056307    0.062478  0.192450  2.500000  0.151685        0.833333        0.829907       0.942620
23   731817     659        366              4      2013        0         Mexico    Netherlands  2014-06-29 17:00:00.000000    1.666667   1.166667      0.833333  0.507640  0.141456    0.441715    0.170423        0.797203           1.208786  3.914817    1.046734    0.782369  0.046561  0.159861  2.000000  0.127658   3.329323       1.077414    0.057372  0.199830  1.333333  0.138314        1.055556        0.941728       1.052657
24   731817     366        659              4      2013        1    Netherlands         Mexico  2014-06-29 17:00:00.000000    2.500000   2.500000      1.166667  0.324303  0.117375    0.452094    0.152097        1.759853           0.775590  3.145297    1.061158    0.737389  0.033191  0.152910  3.500000  0.135384   4.353583       1.100129    0.057448  0.222534  2.000000  0.128799        2.000000        1.135791       0.940537
26   731815     831        614              4      2013        0          Chile         Brazil  2014-06-28 17:00:00.000000    1.500000   1.166667      1.333333  0.567336  0.214864    0.496724    0.174566        0.779153           0.966461  4.181525    1.162836    0.770265  0.044883  0.194995  2.833333  0.121819   3.774401       1.110920    0.044753  0.173857  1.833333  0.128668        1.083333        1.272191       1.078449
27   731815     614        831              4      2013        1         Brazil          Chile  2014-06-28 17:00:00.000000    1.833333   1.833333      0.666667  0.533237  0.222914    0.397575    0.141500        1.683269           0.616026  4.146276    0.973863    0.802015  0.073179  0.178850  1.833333  0.176658   3.083113       0.977773    0.046448  0.157095  3.000000  0.135760        1.750000        1.307554       1.061381
29   731811     357        596              4      2013        0        Germany            USA  2014-06-26 17:00:00.000000    2.166667   2.833333      1.000000  0.671332  0.199167    0.633954    0.207537        1.938378           1.385730  4.593404    1.142087    0.794028  0.066802  0.135715  0.833333  0.152212   4.379121       1.083736    0.059633  0.108320  1.166667  0.182311        2.416667        0.837223       1.002344
30   731811     596        357              4      2013        1            USA        Germany  2014-06-26 17:00:00.000000    1.500000   1.500000      1.333333  0.437007  0.149146    0.658690    0.225213        1.434019           1.000251  3.374605    1.160368    0.738102  0.044029  0.155356  1.666667  0.150978   3.925245       1.164457    0.053262  0.130070  2.500000  0.175721        1.083333        0.968639       0.964492
31   731812    1219        359              4      2013        0          Ghana       Portugal  2014-06-26 17:00:00.000000    1.000000   1.166667      1.333333  0.576035  0.231919    0.491123    0.173596        0.642919           1.115242  3.780199    1.194195    0.757057  0.051662  0.127204  2.000000  0.204040   3.886967       1.205865    0.054888  0.163187  1.666667  0.131924        0.916667        1.711310       1.023009
32   731812     359       1219              4      2013        1       Portugal          Ghana  2014-06-26 17:00:00.000000    1.000000   1.500000      1.166667  0.463223  0.152061    0.628935    0.213029        1.200667           1.174366  3.982295    0.986424    0.793665  0.046627  0.126539  1.833333  0.166423   4.865963       0.937754    0.053450  0.153982  1.500000  0.157228        1.333333        1.074196       0.963848
34   731808     368        830              4      2013        0         France        Ecuador  2014-06-25 21:00:00.000000    1.333333   1.666667      1.166667  0.611968  0.206794    0.410979    0.144402        1.460384           0.945297  4.133610    1.005746    0.793976  0.054348  0.159537  2.500000  0.173192   3.562315       0.999727    0.026453  0.177867  2.166667  0.125662        1.166667        1.869005       1.027965
35   731808     830        368              4      2013        1        Ecuador         France  2014-06-25 21:00:00.000000    1.500000   1.333333      1.166667  0.500149  0.226822    0.528142    0.193500        1.051679           1.281943  3.718054    1.078204    0.767667  0.060743  0.155598  2.166667  0.126939   4.221952       1.128382    0.060818  0.195101  1.666667  0.168142        1.250000        0.785304       0.978709
39   731805     837        119              4      2013        0        Uruguay          Italy  2014-06-24 17:00:00.000000    1.166667   1.666667      2.000000  0.379819  0.119173    0.542632    0.187263        0.906318           1.578742  2.882108    1.319575    0.675983  0.060205  0.152876  2.000000  0.133365   3.966397       1.278906    0.067674  0.167221  2.166667  0.164601        1.111111        0.820273       0.897368
40   731805     119        837              4      2013        1          Italy        Uruguay  2014-06-24 17:00:00.000000    1.000000   1.166667      1.333333  0.523002  0.172845    0.439943    0.143526        0.948023           0.856449  4.684654    1.126682    0.797488  0.063539  0.189877  1.166667  0.145128   3.236539       1.114571    0.051744  0.137741  2.333333  0.115919        0.944444        2.119149       1.099640
44   731801     118        575              4      2013        0          Spain      Australia  2014-06-23 17:00:00.000000    2.000000   0.833333      1.166667  0.802229  0.238513    0.285976    0.095588        1.210863           1.129892  5.845838    1.065440    0.843576  0.066087  0.189539  1.666667  0.162207   2.991903       1.139312    0.029645  0.116597  3.333333  0.101090        0.700000        1.757937       1.199847
45   731801     575        118              4      2013        1      Australia          Spain  2014-06-23 17:00:00.000000    0.666667   1.000000      2.166667  0.427648  0.149756    0.570102    0.204835        1.086936           1.433026  3.845459    1.072962    0.777731  0.033974  0.165752  2.666667  0.128422   4.696580       0.971193    0.041009  0.217456  2.166667  0.180088        0.666667        0.769044       0.949959
46   731802     831        366              4      2013        0          Chile    Netherlands  2014-06-23 17:00:00.000000    2.000000   1.333333      1.000000  0.619307  0.234577    0.516437    0.170982        0.930916           0.725858  4.073998    1.168212    0.765644  0.043091  0.177074  3.000000  0.146909   3.799491       1.144970    0.048338  0.186402  1.833333  0.117915        1.250000        1.693436       1.078852
47   731802     366        831              4      2013        1    Netherlands          Chile  2014-06-23 17:00:00.000000    2.500000   2.500000      1.333333  0.352977  0.115583    0.450302    0.157473        1.829198           0.844453  3.487591    1.075494    0.759355  0.038567  0.160079  3.666667  0.140761   4.168995       1.078624    0.048487  0.208197  2.333333  0.139552        2.000000        1.055433       0.972378
48   731796     359        596              4      2013        0       Portugal            USA  2014-06-22 23:00:00.000000    0.833333   1.333333      1.333333  0.427037  0.133688    0.617059    0.212431        1.181012           1.036526  3.950543    1.014649    0.788660  0.052430  0.134713  2.333333  0.158885   4.652853       0.947818    0.046587  0.158725  1.666667  0.156553        1.222222        1.031339       0.971692
49   731796     596        359              4      2013        1            USA       Portugal  2014-06-22 23:00:00.000000    1.333333   1.333333      1.333333  0.440515  0.152655    0.570970    0.197143        1.404187           0.780216  3.139517    1.241069    0.713727  0.044029  0.186935  1.666667  0.143960   3.593666       1.213580    0.049753  0.138842  3.166667  0.154669        1.000000        1.053295       0.961027
51   731795    1219        357              4      2013        0          Ghana        Germany  2014-06-21 20:00:00.000000    1.333333   1.000000      1.000000  0.558972  0.226810    0.397494    0.150699        0.515893           0.949976  3.789922    1.187160    0.758751  0.053511  0.125621  2.166667  0.199007   3.492683       1.188172    0.049645  0.161719  2.333333  0.135737        0.916667        1.639881       1.037185
52   731795     357       1219              4      2013        1        Germany          Ghana  2014-06-21 20:00:00.000000    2.500000   2.666667      0.666667  0.666822  0.210846    0.623007    0.217134        1.825765           1.227025  4.500974    1.169723    0.788387  0.067071  0.125501  1.000000  0.156297   4.384286       1.100310    0.061560  0.097874  1.166667  0.181193        2.416667        0.863367       0.998410
54   731791     368        497              4      2013        0         France    Switzerland  2014-06-20 20:00:00.000000    1.333333   1.000000      0.833333  0.639536  0.201170    0.400989    0.138644        0.845462           0.922634  4.129492    1.032514    0.788809  0.054291  0.169947  2.500000  0.144404   3.512956       1.028039    0.031677  0.172262  2.333333  0.118246        0.916667        1.730242       1.028293
55   731791     497        368              4      2013        1    Switzerland         France  2014-06-20 20:00:00.000000    1.833333   0.833333      0.333333  0.400258  0.153476    0.654295    0.278862        0.904937           1.017006  3.462109    1.165804    0.719745  0.054693  0.172556  2.666667  0.133741   3.732511       1.199002    0.062931  0.159953  2.666667  0.159278        0.833333        1.127039       0.985721
