2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Nantes,Olympique Lyonnais,Olympique Lyonnais,Olympique Lyonnais,Olympique Lyonnais,Olympique Lyonnais,Olympique Lyonnais,Olympique Lyonnais,Bordeaux,Olympique Marseille,Lille,Montpellier,PSG,PSG,PSG,PSG,Monaco
Olympique Lyonnais,Lens,Monaco,PSG,Lille,Bordeaux,Olympique Marseille,Bordeaux,Olympique Marseille,Olympique Lyonnais,Olympique Marseille,PSG,Olympique Marseille,Monaco,Olympique Lyonnais,Olympique Lyonnais,PSG
Lille,Auxerre,Olympique Marseille,Monaco,Monaco,Lille,Toulouse,Olympique Marseille,Olympique Lyonnais,Auxerre,Olympique Lyonnais,Lille,Olympique Lyonnais,Lille,Monaco,Monaco,Nice
